Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Dual,Price,,Triple,Stand-by,Talk time,Features_1,Protection,_1,_1_1,Models,Build,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Dual_1,Music play,Infrared port,Keyboard,Browser,Alert types,Clock,Alarm,SAR EU,SAR,Stand-by_1,Talk time_1,128GB 6GB RAM,Languages
b'chea',b'Chea A90',b'https://fdn2.gsmarena.com/vv/bigpic/cha90.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2004, Q1'",b'Discontinued',b'86 x 44 x 21 mm (3.39 x 1.73 x 0.83 in)',b'82.8 g (2.89 oz)',b'Mini-SIM',"b'CSTN, 4096 colors'",b'',b'128 x 160 pixels',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable battery',,b'',,,b'Wallpapers Downloadable image',,,,,,b'No',b'Karaoke Downloadable karaoke',,,b'Class 10',b'No',b'500',b'',b'SMS',b'',b'No',,,,,b'WAP 1.2.1',b'Vibration; Downloadable polyphonic ringtones',,,,,,,,"b'English,Spanish'"
b'chea',b'Chea JMS-110',b'https://fdn2.gsmarena.com/vv/bigpic/chjms110.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2004, Q1'",b'Cancelled',b'50.3 x 94 x 24 mm (1.98 x 3.70 x 0.94 in)',b'77 g (2.72 oz)',b'Mini-SIM',"b'CSTN, 256 colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 720 mAh battery',,b'',,,b'Wallpapers',,b'Up to 240 h',,,,b'No',b'Predictive text input',,,b'Class 8',b'No',b'300',b'',"b'SMS, EMS'",b'',b'No',,,,,b'WAP',b'Vibration; Polyphonic(16) ringtones',,,,,,,,
b'chea',b'Chea 328',b'https://fdn2.gsmarena.com/vv/bigpic/ch328.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2003, Q3'",b'Cancelled',b'109 x 45 x 18 mm (4.29 x 1.77 x 0.71 in)',b'77 g (2.72 oz)',b'Mini-SIM',"b'STN, 4096 colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,b'',,,b'Screensavers',,b'Up to 150 h',b'Up to 5 h',,,b'No',b'Organizer Voice dial Voice memo',,,b'Yes',b'No',b'150',b'',"b'SMS, MMS'",b'3',b'Yes',,,,,b'WAP 1.2',"b'Vibration; Polyphonic ringtones, composer'",,,,,,,,b'English'
b'chea',b'Chea 318',b'https://fdn2.gsmarena.com/vv/bigpic/ch318.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2003, Q3'",b'Cancelled',b'109 x 45 x 18 mm (4.29 x 1.77 x 0.71 in)',b'77 g (2.72 oz)',b'Mini-SIM',"b'STN, 4096 colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,b'',,,b'Screensavers',,b'Up to 150 h',b'Up to 5 h',,,b'No',b'Organizer Voice dial Voice memo',,,b'Yes',b'No',b'150',b'',"b'SMS, MMS'",b'3',b'Yes',,,,,b'WAP 1.2',"b'Vibration; Polyphonic ringtones, composer'",,,,,,,,b'English'
b'chea',b'Chea 308',b'https://fdn2.gsmarena.com/vv/bigpic/ch308.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2003, Q3'",b'Cancelled',b'109 x 45 x 18 mm (4.29 x 1.77 x 0.71 in)',b'77 g (2.72 oz)',b'Mini-SIM',"b'STN, 4096 colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,b'',,,b'Screensavers',,b'Up to 150 h',b'Up to 5 h',,,b'No',b'Organizer Voice dial',,,b'Yes',b'No',b'150',b'',"b'SMS, MMS'",b'3',b'Yes',,,,,b'WAP 1.2',"b'Vibration; Polyphonic ringtones, composer'",,,,,,,,b'English'
b'chea',b'Chea 228',b'https://fdn2.gsmarena.com/vv/bigpic/ch228.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2003, Q3'",b'Cancelled',b'85 x 45 x 20.5 mm (3.35 x 1.77 x 0.81 in)',b'74 g (2.61 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',b'128 x 160 pixels',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,b'',,,b'Second external FSTN monochrome display (96 x 64 pixels) Screensavers',,b'Up to 200 h',b'Up to 2 h',,,b'No',b'Organizer Voice memo  Voice dial',,,b'Yes',b'No',b'150',b'',"b'SMS, MMS'",b'4',b'Yes',,,,,b'WAP 1.2.1',"b'Vibration; Polyphonic ringtones, composer'",,,,,,,,b'English'
b'chea',b'Chea 218',b'https://fdn2.gsmarena.com/vv/bigpic/ch218.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2003, Q3'",b'Cancelled',b'85 x 45 x 20 mm (3.35 x 1.77 x 0.79 in)',b'74 g (2.61 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',b'128 x 160 pixels',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,b'',,,b'Second external FSTN monochrome display (96 x 64 pixels) Screensavers',,b'Up to 200 h',b'Up to 2 h',,,b'No',b'Organizer Voice memo  Voice dial',,,b'Yes',b'No',b'150',b'',"b'SMS, MMS'",b'4',b'Yes',,,,,b'WAP 1.2.1',"b'Vibration; Polyphonic ringtones, composer'",,,,,,,,b'English'
b'chea',b'Chea 208',b'https://fdn2.gsmarena.com/vv/bigpic/ch208.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2003, Q3'",b'Cancelled',b'85 x 45 x 20 mm (3.35 x 1.77 x 0.79 in)',b'74 g (2.61 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',b'128 x 160 pixels',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,b'',,,b'Second external FSTN monochrome display (96 x 64 pixels) Screensavers',,b'Up to 200 h',b'Up to 2 h',,,b'No',b'Organizer Voice memo  Voice dial',,,b'Yes',b'No',b'150',b'',"b'SMS, MMS'",b'4',b'Yes',,,,,b'WAP 1.2.1',"b'Vibration; Polyphonic ringtones, composer'",b'Yes',b'Yes',,,,,,b'English'
b'chea',b'Chea 198',b'https://fdn2.gsmarena.com/vv/bigpic/ch198.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2003, Q2'",b'Discontinued',b'106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in)',b'80 g (2.82 oz)',b'Mini-SIM',"b'FSTN, monochrome graphics'",b'',"b'112 x 64 pixels, 16:9 ratio'",,,,,b'No',,,,,,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 650 mAh battery',,b'',,,b'Screensavers',,b'Up to 160 h',b'Up to 3 h',,,b'No',b'Predictive text input Organizer',,,b'No',b'No',b'100',b'',b'SMS',b'3',b'No',,,,,b'',"b'Vibration; Polyphonic ringtones, composer'",b'Yes',b'Yes',,,,,,b'Major European languages'
b'chea',b'Chea 188',b'https://fdn2.gsmarena.com/vv/bigpic/ch188.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2003, Q2'",b'Discontinued',b'106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in)',b'80 g (2.82 oz)',b'Mini-SIM',"b'FSTN, monochrome graphics'",b'',"b'112 x 64 pixels, 16:9 ratio'",,,,,b'No',,,,,,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 650 mAh battery',,b'',,,b'Screensavers',,b'Up to 160 h',b'Up to 3 h',,,b'No',b'Predictive text input Organizer',,,b'No',b'No',b'100',b'',b'SMS',b'3',b'No',,,,,b'',"b'Vibration; Polyphonic ringtones, composer'",b'Yes',b'Yes',,,,,,b'Major European languages'
b'chea',b'Chea 178',b'https://fdn2.gsmarena.com/vv/bigpic/ch178.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2003, Q2'",b'Discontinued',b'106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in)',b'80 g (2.82 oz)',b'Mini-SIM',"b'FSTN, monochrome graphics'",b'',"b'112 x 64 pixels, 16:9 ratio'",,,,,b'No',,,,,,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 650 mAh battery',,b'',,,b'Screensavers',,b'Up to 160 h',b'Up to 3 h',,,b'No',b'Predictive text input Organizer',,,b'No',b'No',b'100',b'',b'SMS',b'3',b'No',,,,,b'',"b'Vibration; Polyphonic ringtones, composer'",b'Yes',b'Yes',,,,,,b'Major European languages'
b'chea',b'Chea 168',b'https://fdn2.gsmarena.com/vv/bigpic/ch168.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2003, Q2'",b'Discontinued',b'106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in)',b'80 g (2.82 oz)',b'Mini-SIM',"b'FSTN, monochrome graphics'",b'',"b'112 x 64 pixels, 16:9 ratio'",,,,,b'No',,,,,,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 650 mAh battery',,b'',,,b'Screensavers',,b'Up to 160 h',b'Up to 3 h',,,b'No',b'Predictive text input Organizer',,,b'No',b'No',b'100',b'',b'SMS',b'3',b'No',,,,,b'',"b'Vibration; Polyphonic ringtones, composer'",b'Yes',b'Yes',,,,,,b'Major European languages'
