Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,,Quad,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,SAR,Price,Dual,Features_1,Single_1,Build,Talk time,Stand-by,Infrared port,Music play,SAR EU,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,_1,_1_1,Keyboard,Browser,Display,Camera,Battery life,Performance,Loudspeaker_1,Audio quality
b'microsoft',b'Microsoft Surface Duo',b'https://fdn2.gsmarena.com/vv/bigpic/microsoft-surface-duo.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 19 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 46, 66'","b'HSPA 42.2/5.76 Mbps, LTE-A (CA) Cat18 1200/100 Mbps'","b'2020, August 12'","b'Available. Released 2020, September 10'",b'Unfolded: 186.9 x 145.2 x 4.8 mm Folded: 145.2 x 93.3 x 9.9 mm',b'250 g (8.82 oz)',"b'Nano-SIM, eSIM'",b'AMOLED',"b'8.1 inches, 195.4 cm2 (~144.2% screen-to-body ratio)'","b'1800 x 2700 pixels, 3:2 ratio (~401 ppi density)'",b'Corning Gorilla Glass 5',b'Android 10',b'Qualcomm SM8150 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'Adreno 640',b'No',"b'128GB 6GB RAM, 256GB 6GB RAM'",b'Stylus support',,,"b'4K@30/60fps, 1080p@30/60fps, gyro-EIS'","b'11 MP, f/2.0, 23mm (wide), 1.0\xc2\xb5m, PDAF'","b'4K@30/60fps, 1080p@30/60fps, gyro-EIS'",b'Yes',b'Unspecified',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX Adaptive'","b'Yes, with A-GPS'",b'No',b'No',b'USB Type-C 3.1',"b'Fingerprint (side-mounted), accelerometer, proximity'","b'Li-Po 3577 mAh, non-removable'",b'Fast charging 18W',b'White',,,b'About 1200 EUR',,,b'Uses main camera',"b'Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5)'",,,,,,,,,,,,,"b'Folded position display: 5.6 inches, AMOLED, 1350 x 1800 pixels (4:3)'",b'UFS 3.0',,,,,,,,
b'microsoft',b'Microsoft Lumia 650',b'https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-650-s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 2100',"b'1, 3, 7, 8, 20'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2016, February'","b'Available. Released 2016, February'",b'142 x 70.9 x 6.9 mm (5.59 x 2.79 x 0.27 in)',b'122 g (4.30 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'",b'OLED',"b'5.0 inches, 67.5 cm2 (~67.1% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~297 ppi density)'",b'Corning Gorilla Glass 3',b'Microsoft Windows 10',b'Qualcomm MSM8909v2 Snapdragon 212 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Adreno 304',b'microSDXC (dedicated slot)',b'16GB 1GB RAM',b'ClearBlack display',,b'LED flash',b'720p@30fps',"b'8 MP, f/2.2, 28mm (wide), 1/4.0"", AF'",b'720p',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'Yes',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2000 mAh, removable'",,"b'Black, White'",,,b'About 150 EUR',,,"b'5 MP, f/2.2'","b'Glass front (Gorilla Glass 3), plastic back, aluminum frame'",b'Up to 16 h (2G) / Up to 13 h (3G)',b'Up to 624 h (3G)',,,,,,,,,,,b'eMMC 4.5',,,,"b'Contrast ratio: Infinite (nominal), 3.77(sunlight)'",b'Photo',b'Endurance rating 55h',,,
b'microsoft',b'Microsoft Lumia 950 XL Dual SIM',b'https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-xl--.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2015, October. Released 2015, December'",b'Discontinued',b'151.9 x 78.4 x 8.1 mm (5.98 x 3.09 x 0.32 in)',b'165 g (5.82 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'AMOLED',"b'5.7 inches, 89.6 cm2 (~75.2% screen-to-body ratio)'","b'1440 x 2560 pixels, 16:9 ratio (~515 ppi density)'",b'Corning Gorilla Glass 4',b'Microsoft Windows 10',b'Qualcomm MSM8994 Snapdragon 810 (20 nm)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57)',b'Adreno 430',b'microSDXC (dedicated slot)',b'32GB 3GB RAM',b'ClearBlack display',,"b'Zeiss optics, triple-LED RGB flash, panorama, HDR'","b'4K@30fps,  stereo sound rec., 1080p@30/60fps (after SW update)'","b'20 MP, f/1.9, 26mm (wide), 1/2.4"", 1.12\xc2\xb5m, AF, OIS'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'4.1, A2DP'","b'Yes, with A-GPS, GLONASS, BDS'",b'Yes',b'FM radio',b'USB Type-C 3.1',"b'Iris scanner, accelerometer, gyro, proximity, compass, barometer, sensor core'","b'Li-Ion 3340 mAh, removable'",b'Fast charging 18W Qi wireless charging - market dependent',"b'Black, White'",,,b'About 350 EUR',,,"b'5 MP, f/2.4'",,b'Up to 25 h (2G) / Up to 19 h (3G)',b'Up to 288 h (2G) / Up to 288 h (3G)',,b'Up to 75 h',,,,,,,,,b'eMMC 5.0',b'Microsoft Continuum support',,,"b'Contrast ratio: Infinite (nominal), 3.837 (sunlight)'",,b'Endurance rating 47h',b'Basemark OS II 2.0: 1472Basemark X: 32178',b'Voice 74dB / Noise 75dB / Ring 84dB',b'Noise -91.6dB / Crosstalk -89.3dB'
b'microsoft',b'Microsoft Lumia 950 XL',b'https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-xl--.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 20, 28, 38, 40 - EMEA'","b'HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps'","b'2015, October. Released 2015, November'",b'Discontinued',b'151.9 x 78.4 x 8.1 mm (5.98 x 3.09 x 0.32 in)',b'165 g (5.82 oz)',b'Nano-SIM',b'AMOLED',"b'5.7 inches, 88.5 cm2 (~74.3% screen-to-body ratio)'","b'1440 x 2560 pixels, 16:9 ratio (~518 ppi density)'",b'Corning Gorilla Glass 4',b'Microsoft Windows 10',b'Qualcomm MSM8994 Snapdragon 810 (20 nm)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57)',b'Adreno 430',b'microSDXC (dedicated slot)',b'32GB 3GB RAM',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41 - USA'",,"b'Zeiss optics, triple-LED RGB flash, panorama, HDR'","b'4K@30fps,  stereo sound rec., 1080p@30/60fps (after SW update)'","b'20 MP, f/1.9, 26mm (wide), 1/2.4"", 1.12\xc2\xb5m, AF, OIS'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'4.1, A2DP'","b'Yes, with A-GPS, GLONASS, BDS'",b'Yes',b'FM radio',b'USB Type-C 3.1',"b'Iris scanner, accelerometer, gyro, proximity, compass, barometer, sensor core'","b'Li-Ion 3340 mAh, removable'",b'Fast charging 18W Qi wireless charging - market dependent',"b'Black, White'",,,b'About 350 EUR',,,"b'5 MP, f/2.4'",,b'Up to 25 h (2G) / Up to 19 h (3G)',b'Up to 288 h (2G) / Up to 288 h (3G)',,b'Up to 75 h',,,,,,,,,b'ClearBlack display',b'Microsoft Continuum support',,,"b'Contrast ratio: Infinite (nominal), 3.837 (sunlight)'",b'Photo / Video',b'Endurance rating 62h',b'Basemark OS II 2.0: 1472Basemark X: 32178',b'Voice 74dB / Noise 75dB / Ring 84dB',b'Noise -91.6dB / Crosstalk -89.3dB'
b'microsoft',b'Microsoft Lumia 950 Dual SIM',b'https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2015, October. Released 2015, December'",b'Discontinued',b'145 x 73.2 x 8.2 mm (5.71 x 2.88 x 0.32 in)',b'150 g (5.29 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'AMOLED',"b'5.2 inches, 74.5 cm2 (~70.2% screen-to-body ratio)'","b'1440 x 2560 pixels, 16:9 ratio (~565 ppi density)'",b'Corning Gorilla Glass 3',b'Microsoft Windows 10',b'Qualcomm MSM8992 Snapdragon 808 (20 nm)',b'Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57)',b'Adreno 418',b'microSDXC (dedicated slot)',b'32GB 3GB RAM',b'ClearBlack display',,"b'Zeiss optics, triple-LED RGB flash, panorama, HDR'","b'4K@30fps,  stereo sound rec., 1080p@30/60fps (after SW update)'","b'20 MP, f/1.9, 26mm (wide), 1/2.4"", 1.12\xc2\xb5m, AF, OIS'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'4.1, A2DP'","b'Yes, with A-GPS, GLONASS, BDS'",b'Yes',b'FM radio',b'USB Type-C 3.1',"b'Iris scanner, accelerometer, gyro, proximity, compass, barometer, sensor core'","b'Li-Ion 3000 mAh, removable'",b'Qi wireless charging - market dependent Fast charging 18W',"b'Black, White'",,,b'About 280 EUR',,,"b'5 MP, f/2.4'",,b'Up to 23 h (2G) / Up to 18 h (3G)',b'Up to 288 h (2G) / Up to 288 h (3G)',,b'Up to 67 h',,,,,,,,,b'eMMC 5.0',b'Microsoft Continuum support',,,,,,,,
b'microsoft',b'Microsoft Lumia 950',b'https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40 - EMEA'","b'HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps'","b'2015, October. Released 2015, November'",b'Discontinued',b'145 x 73.2 x 8.2 mm (5.71 x 2.88 x 0.32 in)',b'150 g (5.29 oz)',b'Nano-SIM',b'AMOLED',"b'5.2 inches, 74.8 cm2 (~70.5% screen-to-body ratio)'","b'1440 x 2560 pixels, 16:9 ratio (~564 ppi density)'",b'Corning Gorilla Glass 3',b'Microsoft Windows 10',b'Qualcomm MSM8992 Snapdragon 808 (20 nm)',b'Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57)',b'Adreno 418',b'microSDXC (dedicated slot)',b'32GB 3GB RAM',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41 - USA'",,"b'Zeiss optics, triple-LED RGB flash, panorama, HDR'","b'4K@30fps,  stereo sound rec., 1080p@30/60fps (after SW update)'","b'20 MP, f/1.9, 26mm (wide), 1/2.4"", 1.12\xc2\xb5m, AF, OIS'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'4.1, A2DP'","b'Yes, with A-GPS, GLONASS, BDS'",b'Yes',b'FM radio',b'USB Type-C 3.1',"b'Iris scanner, accelerometer, gyro, proximity, compass, barometer, sensor core'","b'Li-Ion 3000 mAh, removable'",b'Fast charging 18W Qi wireless charging - market dependent',"b'Black, White'",,,b'About 280 EUR',,,"b'5 MP, f/2.4'",,b'Up to 23 h (2G) / Up to 18 h (3G)',b'Up to 288 h (2G) / Up to 288 h (3G)',,b'Up to 67 h',,,,,,,,,b'ClearBlack display',b'Microsoft Continuum support',,,"b'Contrast ratio: Infinite (nominal), 3512 (sunlight)'",b'Photo / Video',b'Endurance rating 48h',b'Basemark OS II 2.0: 1281Basemark X: 26330',b'Voice 71dB / Noise 73dB / Ring 77dB',b'Noise -91.3dB / Crosstalk -91.6dB'
b'microsoft',b'Microsoft Lumia 550',b'https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-550-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 2100',"b'1, 3, 7, 8, 20'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2015, October. Released 2015, December'",b'Discontinued',b'136.1 x 67.8 x 9.9 mm (5.36 x 2.67 x 0.39 in)',b'141.9 (5.01 oz)',b'Nano-SIM',"b'IPS LCD,'","b'4.7 inches, 59.7 cm2 (~64.7% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~315 ppi density)'",,b'Microsoft Windows 10',b'Qualcomm MSM8909 Snapdragon 210 (28 nm)',b'Quad-core 1.1 GHz Cortex-A7',b'Adreno 304',b'microSDXC (dedicated slot)',b'8GB 1GB RAM',b'eMMC 4.5',,b'LED flash',b'720p@30fps',"b'5 MP, f/2.4, 1/4.0"", AF'",b'480p',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2100 mAh, removable'",,"b'Black, White'",,,b'About 90 EUR',,,"b'2 MP, f/2.8'",,b'Up to 16 h (2G) / Up to 14 h (3G)',b'Up to 672 h (2G) / Up to 672 h (3G)',,b'Up to 60 h',,,,,,,,,,,,,,b'Photo / Video',b'Endurance rating 42h',,,
b'microsoft',b'Microsoft Lumia 540 Dual SIM',b'https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-540-ds1.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',,b'HSPA 42.2/5.76 Mbps',"b'2015, April. Released 2015, May'",b'Discontinued',b'144 x 73.7 x 8.6 mm (5.67 x 2.90 x 0.34 in)',b'152 g (5.36 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~64.9% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'Microsoft Windows Phone 8.1 with Lumia Denim',b'Qualcomm Snapdragon 200 (28 nm)',b'Quad-core 1.2 GHz Cortex-A7',b'Adreno 302',b'microSDXC (dedicated slot)',b'8GB 1GB RAM',b'ClearBlack display',,b'LED flash',b'480p@30fps',"b'8 MP, f/2.2, 28mm (wide), 1/4.0"", AF'",b'480p',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2200 mAh, removable'",,"b'Orange, white, black, gray, blue'",,,b'About 100 EUR',,,b'5 MP',,b'Up to 26 h (2G) / Up to 15 h (3G)',b'Up to 576 h (2G) / Up to 576 h (3G)',,b'Up to 81 h',,,,,,,,,b'eMMC 4.5',,,,,,,,,
b'microsoft',b'Microsoft Lumia 430 Dual SIM',b'https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-430.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',,b'HSPA 42.2/5.76 Mbps',"b'2015, March. Released 2015, May'",b'Discontinued',b'120.5 x 63.2 x 10.6 mm (4.74 x 2.49 x 0.42 in)',b'127.9 g (4.52 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD,'","b'4.0 inches, 44.8 cm2 (~58.8% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~235 ppi density)'",,"b'Microsoft Windows Phone 8.1, upgradable to Windows 10'",b'Qualcomm MSM8210 Snapdragon 200 (28 nm)',b'Dual-core 1.2 GHz Cortex-A7',b'Adreno 302',b'microSDXC (dedicated slot)',b'8GB 1GB RAM',b'eMMC 4.5',,,b'480p@30fps',"b'2 MP, f/2.2, 1/5.0""'",b'480p',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'A-GPS, GLONASS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 1500 mAh, removable'",,"b'Black, Orange'",,,b'About 70 EUR',,,b'VGA',,b'Up to 13 h (2G) / Up to 8 h 30 min (3G)',b'Up to 720 h (2G) / Up to 720 h (3G)',,b'Up to 47 h',,,,,,,,,,,,,,,,,,
