Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,_1_1,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Dual,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Price,Triple,Single,128GB 6GB RAM,Build,Models,128GB 4GB RAM,32GB 3GB RAM,64GB 4GB RAM,32GB 2GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,Single_1,256GB 8GB RAM,SAR,Protection,256GB 12GB RAM,256GB 6GB RAM,SAR EU,Audio quality,Infrared port,Dual_1,Talk time,Stand-by,GPRS,EDGE,Keyboard,Phonebook,Call records,Messaging,Games,Java,Music play,Browser,Stand-by_1,Talk time_1,Alert types,Languages,Clock,Alarm
b'nec',b'NEC Terrain',b'https://fdn2.gsmarena.com/vv/bigpic/nec-terrain.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810G compliant',b'HSDPA 850 / 1900 / 2100',,"b'4, 17'",,"b'HSPA, LTE'","b'2013, June. Released 2013, June'",b'Discontinued',b'127.5 x 64.5 x 14.5 mm (5.02 x 2.54 x 0.57 in)',b'171.8 g (6.07 oz)',b'Yes',,b'TFT',"b'3.1 inches, 29.8 cm2 (~36.2% screen-to-body ratio)'","b'640 x 480 pixels, 4:3 ratio (~258 ppi density)'",b'Android 4.0 (Ice Cream Sandwich)',b'Qualcomm MSM8960 Snapdragon S4 Plus',b'Dual-core 1.5 GHz Krait',b'Adreno 225',b'microSDHC (dedicated slot)',b'8GB 1GB RAM',,b'LED flash',b'720p@30fps',,,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Yes',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 1900 mAh, removable'",,b'Black',b'About 330 EUR',,"b'5 MP, AF'",,,,,,,,,,,,,b'VGA',,,b'Corning Gorilla Glass 2',,,,,,,b'Up to 10 h',b'Up to 348 h',,,b'QWERTY',,,,,,,,,,,,,
b'nec',b'NEC 804N',b'https://fdn2.gsmarena.com/vv/bigpic/nec-804N.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',"b'Second external 0.9-inch STN, 65K colors display (96 x 64 pixels)'",b'UMTS 2100',"b'MP3 player with music assist buttons Mail art PC Sync Bilungual menus OR code reading Document viewer (Word, Excel, PowerPoint, PDF) Organizer'",,,"b'Yes, 384 kbps'","b'2006, April'",b'Discontinued',b'93 x 48 x 23 mm (3.66 x 1.89 x 0.91 in)',b'115 g (4.06 oz)',b'Mini-SIM',,"b'TFT, 65K colors'","b'2.2 inches, 15.0 cm2 (~33.6% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",,,,,b'microSD (dedicated slot)',b'450MB',,,b'Yes',,,b'',b'Yes',b'No',b'No',b'1.2',b'No',,b'No',b'2.0',b'',b'Removable Li-Ion 720 mAh battery',,"b'Plumeria White, Coral Pink, Lapis Blue'",,,b'2 MP',,,,,,,,,,,,,b'Videocall camera',,,,,,,,,,b'Up to 4 h 20 min',b'Up to 210 h',,,,b'Yes',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Downloadable',b'No',,b'WAP 2.0',,,"b'Vibration; Downloadable polyphonic, MP3, MIDI ringtones'",,,
b'nec',b'NEC e1108',b'https://fdn2.gsmarena.com/vv/bigpic/nec-e1108.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'No',,b'MP3 player Predictive text input Organizer',,,,b'2006',b'Discontinued',b'103 x 44 x 18.5 mm (4.06 x 1.73 x 0.73 in)',b'84 g (2.96 oz)',b'Mini-SIM',,"b'TFT, 65K colors'","b'1.8 inches, 10.2 cm2 (~22.5% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,,,,b'microSD (dedicated slot)',b'28MB',,,b'Yes',,,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion battery',,"b'Fluorescent Green, Metallic Orange'",,,b'1.3 MP',,,,,,,,,,,,,,,,,,,,,,,b'Up to 2 h 20 min',b'Up to 100 h',b'Class 10',b'No',,b'Yes',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Yes',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,,"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,
b'nec',b'NEC N344i',b'https://fdn2.gsmarena.com/vv/bigpic/nec-N344i.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'No',,b'Predictive text input Organizer PC Sync Photo editor Exchangable covers',,,,b'2005',b'Cancelled',b'109 x 47 x 11.9 mm (4.29 x 1.85 x 0.47 in)',b'95 g (3.35 oz)',b'Mini-SIM',,"b'TFT, 65K colors'","b'1.8 inches, 10.2 cm2 (~19.9% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,,,,b'No',b'5MB',,,b'Yes',,,,b'Yes',b'No',b'No',b'Yes',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 720 mAh battery',,b'Black',,,b'VGA',,,,,,,,,,,,,,,,,,,,,,,b'Up to 3 h',b'Up to 200 h',b'Class 10',b'No',,b'Yes',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS, Email'",b'Downloadable',"b'Yes, DoJa 1.5'",,b'i-mode',,,b'Vibration; Downloadable polyphonic ringtones',,,
b'nec',b'NEC e373',b'https://fdn2.gsmarena.com/vv/bigpic/nec-e373.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'12 colour led backlight',b'UMTS 2100',b'MP3 player Predictive text input Organizer Voice memo',,,"b'Yes, 384 kbps'","b'2006, May'",b'Discontinued',"b'92 x 44 x 19.2 mm, 78 cc (3.62 x 1.73 x 0.76 in)'",b'90 g (3.17 oz)',b'Mini-SIM',,"b'TFT, 65K colors'","b'1.9 inches, 11.4 cm2 (~28.1% screen-to-body ratio)'",b'176 x 220 pixels (~148 ppi density)',,,,,b'No',b'32MB',,,b'Yes',,,b'',b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 1000 mAh battery',,b'Black',,,b'VGA',,,,,,,,,,,,,b'VGA videocall camera',,,,,,,,,,b'Up to 3 h 40 min',b'Up to 250 h',,,,"b'500 entries, Photocall'","b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Downloadable',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,,b'Vibration; Downloadable polyphonic ringtones',,,
b'nec',b'NEC e636',b'https://fdn2.gsmarena.com/vv/bigpic/nec-e636.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'Second external mono OLED display',b'UMTS 2100',b'CIF videocall camera',,,"b'Yes, 384 kbps'","b'2006, February'",b'Discontinued',"b'102 x 48 x 13.9 mm, 65 cc (4.02 x 1.89 x 0.55 in)'",b'110 g (3.88 oz)',b'Mini-SIM',b'MP3/AAC/MP4 player Predictive text input Organizer Voice memo SyncML',"b'TFT, 256K colors'","b'2.2 inches, 33 x 45 mm, 15.0 cm2 (~30.6% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",,,,,b'miniSD',b'32MB',,,b'Yes',,,,b'No',b'No',b'No',b'Yes',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 900 mAh battery',,b'Black',,,b'2 MP',,,,,,,,,,,,,,,,,,,,,,,b'Up to 4 h',b'Up to 270 h',,,,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS, Email'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,,b'Vibration; Downloadable polyphonic ringtones',,,
b'nec',b'NEC N500i',b'https://fdn2.gsmarena.com/vv/bigpic/nec-n500i.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Second external 4096 colors OLED display',,b'No',,,,"b'2006, February'",b'Discontinued',"b'93 x 46 x 25 mm, 80 cc (3.66 x 1.81 x 0.98 in)'",b'99 g (3.49 oz)',b'Mini-SIM',b'MP3/AAC/MP4 player Predictive text input Organizer Voice memo SyncML',"b'TFT, 65K colors'","b'1.9 inches, 30 x 37 mm, 11.4 cm2 (~26.6% screen-to-body ratio)'",b'176 x 220 pixels (~148 ppi density)',,,,,b'No',b'54MB',,b'LED flash',b'Yes',,,,b'No',b'No',b'No',b'Yes',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 850 mAh battery',,b'Black',,,b'1.3 MP',,,,,,,,,,,,,,,,,,,,,,,b'Up to 2 h 50 min',b'Up to 200 h',b'Class 10',b'Class 10',,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS, Email'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,b'i-mode',,,b'Vibration; Downloadable polyphonic ringtones',,,
b'nec',b'NEC N500iS',b'https://fdn2.gsmarena.com/vv/bigpic/nec-n500is.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Second external mono OLED display (39x96 pixels)',,b'No',,,,"b'2006, February'",b'Discontinued',b'101 x 48 x 13.6 mm (3.98 x 1.89 x 0.54 in)',b'95 g (3.35 oz)',b'Mini-SIM',b'MP3/AAC/MP4 player Predictive text input Organizer Voice memo SyncML',"b'TFT, 65K colors'",b'',"b'176 x 220 pixels, 1.9 inch'",,,,,b'No',b'54MB',,,b'Yes',,,,b'No',b'No',b'No',b'Yes',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 820 mAh battery',,b'Black',,,b'1.3 MP',,,,,,,,,,,,,,,,,,,,,,,b'Up to 3 h',b'Up to 200 h',b'Class 10',b'Class 10',,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS, Email'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,"b'WAP(Nec e959),  iMode(Nec N500iS)'",,,b'Vibration; Downloadable polyphonic ringtones',,,
b'nec',b'NEC N908',b'https://fdn2.gsmarena.com/vv/bigpic/nec-n908.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Handwriting recognition',,b'No',,,,"b'2006, July'",b'Discontinued',b'83.4 x 53.2 x 12.8 mm (3.28 x 2.09 x 0.50 in)',b'84 g (2.96 oz)',b'Mini-SIM',b'Photo editor MP3 player Stopwatch Unit/Currency converter Calculator',"b'TFT resistive touchscreen, 256K colors'","b'2.2 inches, 15.0 cm2 (~33.8% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",,,,,b'microSD (dedicated slot)',b'31MB',,,b'Yes',,,,b'No',b'No',b'No',b'1.2',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,"b'Silver , Black'",,,b'1.3 MP',,,,,,,,,,,,,,,,,,,,,,,b'Up to 3 h 20 min',b'Up to 100 h',b'Class 10',b'No',,b'Yes',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS, Email'",b'',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,,"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,
b'nec',b'NEC N938',b'https://fdn2.gsmarena.com/vv/bigpic/nec-n938.gif',b'GSM',b'GSM 900 / 1800',b'Handwriting recognition Downloadable pictures',,b'No',,,,"b'2005, Q2'",b'Discontinued',b'87 x 56 x 14 mm (3.43 x 2.20 x 0.55 in)',b'79 g (2.79 oz)',b'Mini-SIM',b'Organizer',"b'TFT resistive touchscreen, 65K colors'",b'',b'176 x 220 pixels',,,,,b'No',b'2MB',,b'LED flash',b'No',,,,b'No',b'No',b'No',b'1.1',b'No',,b'No',b'',b'',b'Removable Li-Ion 550 mAh battery',,b'White',,,b'VGA',,,,,,,,,,,,,,,,,,,,,,,b'Up to 2 h',b'Up to 130 h',b'Yes',b'No',,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'',b'Yes',,b'WAP 2.0/xHTML',,,b'Vibration; Downloadable polyphonic ringtones',,,
b'nec',b'NEC e353',b'https://fdn2.gsmarena.com/vv/bigpic/nec-e353.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'Downloadable pictures',b'UMTS 2100',b'CIF videocall camera',,,"b'Yes, 384 kbps'","b'2005, Q4'",b'Discontinued',b'117 x 46 x 16 mm (4.61 x 1.81 x 0.63 in)',b'90 g (3.17 oz)',b'Mini-SIM',b'MP3 player Predictive text input Organizer',"b'TFT, 65K colors'",b'',b'176 x 220 pixels',,,,,b'No',b'32MB',,,b'Yes',,,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 770 mAh battery',,"b'Silver, Black'",,,b'VGA',,,,,,,,,,,,,,,,,,,,,,,b'Up to 3 h',b'Up to 190 h',,,,"b'500 entries, Photocall'","b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS'",b'',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,,b'Vibration; Downloadable polyphonic ringtones',,,
b'nec',b'NEC e121',b'https://fdn2.gsmarena.com/vv/bigpic/nec-e121.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Downloadable pictures',,b'No',,,,"b'2005, Q4'",b'Discontinued',b'106 x 44 x 12.4 mm (4.17 x 1.73 x 0.49 in)',b'95 g (3.35 oz)',b'Mini-SIM',b'Predictive text input Organizer Voice memo',"b'CSTN, 65K colors'","b'1.8 inches, 29 x 35 mm, 10.2 cm2 (~21.9% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,,,,b'No',b'3.6MB',,,b'No',,,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 800 mAh battery',,b'Silver',,,b'VGA',,,,,,,,,,,,,,,,,,,,,,,b'Up to 2 h 30 min',b'Up to 150 h',b'Class 10',b'No',,b'Yes',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS'",b'Yes',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,,b'Vibration; Downloadable polyphonic ringtones',,,
b'nec',b'NEC e122',b'https://fdn2.gsmarena.com/vv/bigpic/nec-e122.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Downloadable pictures',,b'No',,,,"b'2005, Q4'",b'Discontinued',b'102.5 x 43 x 18 mm (4.04 x 1.69 x 0.71 in)',b'90 g (3.17 oz)',b'Mini-SIM',b'Predictive text input Organizer',"b'CSTN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,b'No',b'2.5MB',,,b'No',,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 720 mAh battery',,"b'Silver, Black'",,,b'VGA',,,,,,,,,,,,,,,,,,,,,,,b'Up to 3 h',b'Up to 180 h',b'Class 10',b'No',,"b'250 entries, Photocall'","b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS'",b'Yes',b'No',,b'WAP 2.0/xHTML',,,b'Vibration; Downloadable polyphonic ringtones',,,
b'nec',b'NEC e949/L1',b'https://fdn2.gsmarena.com/vv/bigpic/nec-l1-e949.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Second external mono OLED display (96x39 pixels)',,b'No',,,,"b'2005, Q2'",b'Discontinued',b'102 x 47.9 x 11.9 mm (4.02 x 1.89 x 0.47 in)',b'96 g (3.39 oz)',b'Mini-SIM',b'MP3/AAC/MP4 player Predictive text input Organizer Voice memo Currency convertor SyncML',"b'TFT, 65K colors'","b'1.9 inches, 30 x 37 mm, 11.4 cm2 (~23.3% screen-to-body ratio)'",b'176 x 220 pixels (~148 ppi density)',,,,,b'No',b'25MB',,,b'Yes',,,,b'No',b'No',b'No',b'1.2',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 600 mAh battery',,b'Black',,,b'1.3 MP',,,,,,,,,,,,,,,,,,,,,,,b'Up to 2 h 20 min',b'Up to 140 h',b'Class 10',b'No',,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS, Email'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,,b'Vibration; Downloadable polyphonic ringtones',,,
b'nec',b'NEC N600i',b'https://fdn2.gsmarena.com/vv/bigpic/nec-n600i.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'Second external B/W STN display (30 x 120 pixels) Incoming LED indicator Downloadable pictures',b'UMTS 2100',b'MP3 player Predictive text input Organizer',,,"b'Yes, 384 kbps'","b'2005, Q3'",b'Discontinued',b'94.4 x 47.5 x 24.5 mm (3.72 x 1.87 x 0.96 in)',b'113 g (3.99 oz)',b'Mini-SIM',,"b'TFT, 65K colors'","b'2.0 inches, 30 x 40 mm, 12.4 cm2 (~27.6% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'",,,,,b'microSD (dedicated slot)',b'20MB',,b'LED flash',b'Yes',,,b'',b'Yes',b'No',b'No',b'1.1',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 1000 mAh battery',,b'Silver',,,b'1.3 MP',,,,,,,,,,,,,b'VGA videocall camera',,,,,,,,,,b'Up to 3 h 20 min',b'Up to 200 h',,,,"b'500 entries, Photocall'","b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS, Email'",b'Yes + downloadable',"b'Yes, DoJa 2.5'",,b'i-mode',,,b'Vibration; Downloadable polyphonic ringtones',,,
b'nec',b'NEC e540/N411i',b'https://fdn2.gsmarena.com/vv/bigpic/nec-n411i-e540.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Second external 4096 colors STN display (128 x 128 pixels) Incoming LED indicator Downloadable pictures',,b'400 short messages 400 emails',,,,"b'2005, Q1'",b'Discontinued',b'93 x 46 x 24 mm (3.66 x 1.81 x 0.94 in)',b'95 g (3.35 oz)',b'Mini-SIM',b'MP3 player Predictive text input SyncML  Organizer Voice memo/dial',"b'TFT, 65K colors'","b'1.9 inches, 30 x 37 mm, 11.4 cm2 (~26.6% screen-to-body ratio)'",b'176 x 220 pixels (~148 ppi density)',,,,,b'No',b'26MB',,,b'Yes',,,,b'No',b'No',b'No',b'1.2',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 850 mAh battery',,b'Silver',,,b'1.3 MP',,,,,,,,,,,,,,,,,,,,,b'Yes',,b'Up to 3 h',b'Up to 200 h',b'Class 10',b'No',,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS, Email'",b'Yes + downloadable',"b'Yes, DoJa 1.5'",,"b'WAP 2.0/xHTML, iMode (N411i only)'",,,b'Vibration; Downloadable polyphonic ringtones',,,
b'nec',b'NEC N401i',b'https://fdn2.gsmarena.com/vv/bigpic/nec-n401i.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Second external 4096 colors LCD display (30 x 120 pixels) Incoming LED indicator Downloadable pictures',,b'No',,,,"b'2005, Q1'",b'Discontinued',"b'90 x 44 x 23 mm, 85 cc (3.54 x 1.73 x 0.91 in)'",b'90 g (3.17 oz)',b'Mini-SIM',b'MP3 player Predictive text input Organizer Voice memo/dial',b'65K colors',"b'1.9 inches, 30 x  37 mm, 11.4 cm2 (~28.7% screen-to-body ratio)'",b'176 x 220 pixels (~148 ppi density)',,,,,b'No',b'22MB',,b'LED flash',b'Yes',,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 850 mAh battery',,b'',,,b'VGA',,,,,,,,,,,,,,,,,,,,,b'Yes',,b'Up to 3 h 20 min',b'Up to 200 h',b'Yes',b'No',,"b'500 entries, Photocall'","b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS, EMail'",b'Yes + downloadable',"b'Yes, DoJa 1.5'",,b'iMode',,,b'Vibration; Downloadable polyphonic ringtones',,,
b'nec',b'NEC N343i',b'https://fdn2.gsmarena.com/vv/bigpic/nec-n343i.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Downloadable pictures',,b'No',,,,"b'2005, Q2'",b'Discontinued',b'109 x 43 x 12.7 mm (4.29 x 1.69 x 0.5 in)',b'95 g (3.35 oz)',b'Mini-SIM',b'Predictive text input Organizer',"b'CSTN, 65K colors'",b'',b'128 x 160 pixels',,,,,b'No',b'1.3MB',,,b'Yes',,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 800 mAh battery',,b'',,,b'VGA',,,,,,,,,,,,,,,,,,,,,,,b'Up to 3 h',b'Up to 200 h',b'Class 10',b'No',,b'255 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS, EMail'",b'Yes + downloadable',"b'Yes, DoJa 1.5'",,b'iMode',,,b'Vibration; Downloadable polyphonic ringtones',,,
b'nec',b'NEC N900iG',b'https://fdn2.gsmarena.com/vv/bigpic/nen900g.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'Second external 65K colors TFT display (90 x 120 pixels) Downloadable pictures',b'UMTS 2100',b'CIF videocall camera',,,"b'Yes, 384 kbps'","b'2004, Q4'",b'Discontinued',b'103 x 50 x 28 mm (4.06 x 1.97 x 1.10 in)',b'132 g (4.66 oz)',b'Mini-SIM',b'Bar-code reader Predictive text input Organizer',"b'TFT, 65K colors'",b'',"b'240 x 320 pixels, 4:3 ratio'",,,,,b'miniSD',,,,b'Yes',,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion battery',,b'Ocean Blue',,,b'1.3 MP',,,,,,,,,,,,,,,,,,,,,b'Yes',,b'Up to 2 h',b'Up to 150 h',,,,"b'700 entries, Photo call'","b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS, EMail'",b'Yes + downloadable',b'Yes',,"b'WAP 2.0/xHTML, iMode'",,,b'Vibration; Downloadable polyphonic ringtones',,,
b'nec',b'NEC N200',b'https://fdn2.gsmarena.com/vv/bigpic/nen200.gif',b'GSM',b'GSM 900 / 1800',b'Wallpapers Downloadable pictures',,b'No',,,,"b'2005, Q1'",b'Discontinued',b'70 x 51 x 18.6 mm (2.76 x 2.01 x 0.73 in)',b'70 g (2.47 oz)',b'Mini-SIM',b'Predictive text input Organizer Voice memo',"b'TFT, 65K colors'",b'',b'128 x 160 pixels',,,,,b'No',,,,b'Yes',,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,b'',,,b'VGA',,,,,,,,,,,,,,,,,,,,,,,b'Up to 2 h',b'Up to 110 h',b'Yes',b'No',,b'300 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Yes',b'No',,b'WAP 2.0/xHTML',,,b'Vibration; Downloadable polyphonic ringtones',,,
b'nec',b'NEC N160',b'https://fdn2.gsmarena.com/vv/bigpic/nen160.gif',b'GSM',b'GSM 900 / 1800',"b'Second external 65K colors display, (96 x 64 pixels) Downloadable pictures'",,b'No',,,,"b'2004, Q4'",b'Discontinued',b'82.5 x 45 x 22.6 mm (3.25 x 1.77 x 0.89 in)',b'80 g (2.82 oz)',b'Mini-SIM',b'Predictive text input Organizer',"b'CSTN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,b'No',b'30MB',,,b'Yes',,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 720 mAh battery',,b'Black',,,b'VGA',,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS'",b'4',b'Yes',,b'WAP 1.2.1',,,b'Vibration; Downloadable polyphonic ringtones',,,
b'nec',b'NEC N923',b'https://fdn2.gsmarena.com/vv/bigpic/nen923.gif',b'GSM',b'GSM 900 / 1800',"b'Wallpapers, screensavers Downloadable logos'",,b'No',,,,"b'2004,Q4'",b'Discontinued',b'85 x 54 x 9.5 mm (3.35 x 2.13 x 0.37 in)',b'70 g (2.47 oz)',b'Mini-SIM',b'Predictive text input Organizer',"b'TFT, 65K colors'",b'',"b'120 x 160 pixels, 4:3 ratio'",,,,,b'No',b'2.7MB',,,b'Yes',,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 300 mAh battery',,b'',,,b'VGA',,,,,,,,,,,,,,,,,,,,,,,b'Up to 2 h',b'Up to 120 h',b'Yes',b'No',,b'Yes',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS'",b'Yes',b'No',,b'WAP 1.2.1',,,b'Vibration; Downloadable polyphonic ringtones',,,
