Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Build,Protection,Quad,_1,_1_1,128GB 8GB RAM,Dual,32GB 2GB RAM,32GB 3GB RAM,SAR,128GB 4GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,64GB 4GB RAM,8GB 1GB RAM,256GB 8GB RAM,256GB 12GB RAM,SAR EU,512GB 12GB RAM,Audio quality,64GB 3GB RAM,256GB 6GB RAM,Single_1,64GB 6GB RAM,Dual_1,Stand-by,Talk time,Infrared port,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard
b'orange',b'Orange Neva jet 5G',b'https://fdn2.gsmarena.com/vv/bigpic/orange-neva-jet-5g.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 / 1900 & TD-SCDMA',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41'","b'41, 78 NSA/Sub6'","b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat18 1200/150 Mbps, 5G (2+ Gbps DL)'","b'2019, November'","b'Available. Released 2019, November'",b'159.2 x 73.4 x 7.9 mm (6.27 x 2.89 x 0.31 in)',b'171 g (6.03 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED, HDR10'","b'6.47 inches, 102.8 cm2 (~87.9% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)'","b'Android 9.0 (Pie), MiFavor 9.1'",b'Qualcomm SM8150 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'Adreno 640',b'microSDXC (uses shared SIM slot)',b'128GB 6GB RAM',"b'48 MP, f/1.7, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, OIS 8 MP, f/2.4, (telephoto), PDAF, OIS, 3x optical zoom 20 MP, f/2.2, 11mm (ultrawide)'","b'Dual-LED dual-tone flash, HDR, panorama'","b'4K@30fps, 1080p@30fps'","b'20 MP, f/2.0, (wide), 1/2.8"", 1.0\xc2\xb5m'",b'HDR',b'1080p@30fps',"b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'Yes',b'No',b'USB Type-C 2.0',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Ion 4000 mAh, non-removable'",b'Fast charging 18W Quick Charge 4+ Qi wireless charging',b'Blue',,b'About 900 EUR',"b'Glass front, glass back, aluminum frame'",,,b'UFS 2.1',b'24-bit/192kHz audio',,,,,,,,,,,,,,,,,b'1.01 W/kg (head)',,,,,,,,,,,,,,,,,,
b'orange',b'Orange Rono',b'https://fdn2.gsmarena.com/vv/bigpic/orange-rono.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,b'HSDPA',,,b'HSPA',b'2014. Released 2014',b'Discontinued',b'142.3 x 70.4 x 7.8 mm (5.60 x 2.77 x 0.31 in)',b'131.8 g (4.66 oz)',b'Micro-SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~68.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 4.4.2 (KitKat)',,b'Quad-core 1.2 GHz',,b'microSDHC (dedicated slot)',b'16GB 1GB RAM',,b'LED flash',b'1080p@30fps',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Po 2300 mAh, removable'",,b'Black',,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Yes',,,b'Up to 340 h (3G)',b'Up to 10 h (3G)',,b'Yes',b'Yes',,,,,,
b'orange',b'Orange Gova',b'https://fdn2.gsmarena.com/vv/bigpic/orange-gova.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'',b'HSDPA',b'LTE (unspecified)',,"b'HSPA, LTE Cat4 150/50 Mbps'","b'2014, February. Released 2014, April'",b'Discontinued',b'7.9 mm thickness',b'-',b'Micro-SIM',b'IPS LCD',"b'4.5 inches, 55.8 cm2'","b'540 x 960 pixels, 16:9 ratio (~245 ppi density)'",b'Android 4.3 (Jelly Bean)',,b'Quad-core 1.2 GHz',,b'microSDHC (dedicated slot)',b'8GB 1GB RAM',,b'LED flash',b'Yes',"b'5 MP, AF'",,,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'2.0',"b'Yes, with A-GPS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2000 mAh, removable'",,b'Black',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Yes',b'Yes',,,,,,
b'orange',b'Orange Reyo',b'https://fdn2.gsmarena.com/vv/bigpic/orange-reyo.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,b'HSDPA 900 / 2100',,,b'HSPA',"b'2014, February. Released 2014, February'",b'Discontinued',b'143 x 72 x 9.1 mm (5.63 x 2.83 x 0.36 in)',b'130 g (4.59 oz)',b'Mini-SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.9% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'Android 4.2.2 (Jelly Bean)',b'Mediatek MT6572M (28 nm)',b'Dual-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDHC (dedicated slot)',b'4GB 1GB RAM',,b'LED flash',b'720p@30fps',"b'5 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',"b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 2000 mAh, removable'",,b'White',,,,,,,,,,,,,,,,,,,,,,,,b'0.66 W/kg (head)',,,,,b'VGA',,,b'Up to 400 h',b'Up to 6 h 40 min',,,,,,,,,
b'orange',b'Orange Hiro',b'https://fdn2.gsmarena.com/vv/bigpic/orange-hiro.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,b'HSDPA 2100',,,b'HSPA',"b'2013, Q3. Released 2013, Q3'",b'Discontinued',b'127.1 x 62 x 8 mm (5.00 x 2.44 x 0.31 in)',b'96 g (3.39 oz)',b'Yes',b'IPS LCD',"b'4.3 inches, 51.0 cm2 (~64.7% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~228 ppi density)'",b'Android 4.1 (Jelly Bean)',b'Mediatek MT6572 (28 nm)',b'Dual-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDHC (dedicated slot)',b'4GB 512MB RAM',,b'LED flash',b'720p',"b'5 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'Yes',"b'Yes, with A-GPS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 1700 mAh, removable'",,b'Black',,,,,,,,,,,,,,,,,,,,,,,,b'1.29 W/kg (head)',,,,,b'Yes',,,,,,,,,,,,,
b'orange',b'Orange San Diego',b'https://fdn2.gsmarena.com/vv/bigpic/orange-san-diego.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HDMI port MP4/H.264 player MP3/WAV/eAAC+ player Document viewer Photo editor Organizer Voice memo/dial/commands Predictive text input',b'HSDPA 850 / 900 / 1900 / 2100',,,b'HSPA 21.1/5.76 Mbps',"b'2012, February. Released 2012, June'",b'Discontinued',b'123 x 63 x 10 mm (4.84 x 2.48 x 0.39 in)',b'117 g (4.13 oz)',b'Micro-SIM',b'TFT',"b'4.0 inches, 45.0 cm2 (~58.1% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~297 ppi density)'","b'Android 2.3.7 (Gingerbread), upgradable to 4.0.4 (Ice Cream Sandwich)'",b'Intel Atom Z2460',b'1.6 GHz',b'PowerVR SGX540',b'No',"b'16GB (12GB user available), 1GB RAM'",,b'LED flash',b'1080p@30fps',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, A2DP'","b'Yes, with A-GPS'",b'Yes',b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Ion battery',,b'Black',,b'About 190 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,b'Yes',,,b'Up to 336 h',b'Up to 8 h',,,,,,,,,
b'orange',b'Orange Tahiti',b'https://fdn2.gsmarena.com/vv/bigpic/orange-tahiti.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HDMI port MP4/H.264/WMV player MP3/WAV/eAAC+/WMA player Organizer Photo/video editor Document viewer Voice memo/dial Predictive text input',b'HSDPA 900 / 1900 / 2100',,,b'HSPA',"b'2012, January. Released 2012, January'",b'Discontinued',b'190 x 124 x 10.5 mm (7.48 x 4.88 x 0.41 in)',b'390 g (13.76 oz)',b'Mini-SIM',b'LCD',"b'7.0 inches, 142.1 cm2 (~60.3% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~216 ppi density)'",b'Android 3.2 (Honeycomb)',b'Qualcomm MSM8260 Snapdragon S3',b'Dual-core 1.2 GHz Scorpion',b'Adreno 220',b'microSDHC (dedicated slot)',b'8GB 512MB RAM',,,b'Yes',"b'5 MP, AF'",,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",,b'No',b'microUSB 2.0',"b'Accelerometer, compass'",b'Non-removable Li-Po 4000 mAh battery',,b'Black/silver',,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Yes',,,b'Up to 192 h',b'Up to 6 h',b'Yes',,,,,,,,
b'orange',b'Orange Monte Carlo',b'https://fdn2.gsmarena.com/vv/bigpic/orange-monte-carlo.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',b'No',b'HSDPA 900 / 2100',,,b'HSPA',b'2011',b'Discontinued',b'125.9 x 67.8 x 10.4 mm (4.96 x 2.67 x 0.41 in)',b'120 g (4.23 oz)',b'Mini-SIM',b'TFT',"b'4.3 inches, 52.6 cm2 (~61.7% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~217 ppi density)'",b'Android 2.3 (Gingerbread)',,b'800 MHz',,b'microSDHC (dedicated slot)',b'512MB RAM',,b'LED flash',b'Yes',"b'5 MP, AF'",,,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g, UMA, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",,b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Ion 1400 mAh battery',,b'Black',,,,,,b'MP4/H.264 player MP3/WAV/eAAC+ player Organizer Voice memo/dial Predictive text input',,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 288 h',b'Up to 5 h',,,,,,,,,
b'orange',b'Orange San Francisco II',b'https://fdn2.gsmarena.com/vv/bigpic/Orange-San-Francisco-II.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',b'MP4/H.264 player MP3/WAV/eAAC+ player Organizer Voice memo Predictive text input',b'HSDPA 900 / 1900 / 2100',,,b'HSPA',"b'2011, November. Released 2011, November'",b'Discontinued',b'117 x 58.5 x 10.6 mm (4.61 x 2.30 x 0.42 in)',b'120 g (4.23 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'3.5 inches, 34.9 cm2 (~50.9% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~267 ppi density)'",b'Android 2.3 (Gingerbread)',,b'800 MHz',,b'microSDHC (dedicated slot)',b'512MB RAM',,b'LED flash',b'Yes',"b'5 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",,"b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Ion battery',,b'Black',,b'About 120 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,b'Yes',,,b'Up to 240 h',b'Up to 4 h 30 min',,,,,,,,,
b'orange',b'Orange Sydney',b'https://fdn2.gsmarena.com/vv/bigpic/orange-sydney.jpg',b'GSM',b'GSM 900 / 1800',b'No',,,,,b'2011. Released 2011',b'Discontinued',b'102 x 50 x 12.5 mm (4.02 x 1.97 x 0.49 in)',b'100 g (3.53 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors'","b'3.2 inches, 29.1 cm2 (~57.1% screen-to-body ratio)'","b'240 x 400 pixels, 5:3 ratio (~146 ppi density)'",,,,,b'microSD (dedicated slot)',b'34MB',,,b'Yes',b'3.15 MP',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP, EDR'",b'No',,b'FM radio',b'microUSB 2.0',b'Accelerometer',b'Removable Li-Ion battery',,"b'Black, White'",,,,,,b'MP3/AAC+/WAV/WMA player Organizer Voice memo Predictive text input',,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 312 h',b'Up to 6 h',,b'Yes',b'Yes',"b'Yes, Photocall'","b'30 dialed, 30 received, 30 missed calls'","b'SMS, MMS, Email, IM'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",
b'orange',b'Orange Miami',b'https://fdn2.gsmarena.com/vv/bigpic/orange-miami.jpg',b'GSM',b'GSM 900 / 1800',b'No',,,,,b'2011',b'Discontinued',b'105 x 50 x 12.5 mm (4.13 x 1.97 x 0.49 in)',b'100 g (3.53 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors'","b'2.8 inches, 22.3 cm2 (~42.5% screen-to-body ratio)'","b'240 x 400 pixels, 5:3 ratio (~167 ppi density)'",,,,,b'microSDHC (dedicated slot)',b'10MB',,,b'Yes',b'2 MP',,,b'Yes',b'No',b'No',"b'2.0, A2DP'",b'No',,b'Stereo FM radio',b'microUSB',b'',b'Removable Li-Ion 800 mAh battery',,"b'Black, Pink'",,,,,,b'MP3/AAC+/WAV/WMA player Organizer Voice memo Predictive text input',,,,,,,,,,,,,,,,,,b'0.45 W/kg (head)',,,,,,,,b'Up to 144 h',b'Up to 3 h',,b'Class 12',b'Class 12',"b'1000 contacts, Photocall'","b'30 dialed, 30 received, 30 missed calls'","b'SMS, MMS, Email, IM'",b'Yes',"b'Yes, MIDP 2.0'",
b'orange',b'Orange Malibu',b'https://fdn2.gsmarena.com/vv/bigpic/orange-malibu.jpg',b'GSM / UMTS',b'GSM 850 / 900 / 1800 / 1900',b'No',b'UMTS 2100',,,"b'Yes, 384 kbps'",b'2011',b'Discontinued',b'106 x 46 x 13 mm (4.17 x 1.81 x 0.51 in)',b'90 g (3.17 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'2.0 inches, 12.4 cm2 (~25.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'",,,,,b'microSDHC (dedicated slot)',b'10MB',,,b'Yes',b'2 MP',,,b'Yes',b'No',b'No',b'2.0',b'No',,b'FM radio',b'miniUSB',b'',b'Removable Li-Ion 1000 mAh battery',,b'Black',,,,,,b'MP3/eAAC+ player MP4/H.263 player Voice memo Predictive text input',,,,,,,,,,,,,,,,,,b'0.95 W/kg (head)',,,,,,,,b'Up to 384 h',b'Up to 4 h 20 min',,,,"b'Yes, Photocall'",b'Yes',"b'SMS, MMS, Email, IM'",b'Yes',b'Yes',
b'orange',b'Orange Dallas',b'https://fdn2.gsmarena.com/vv/bigpic/orange-dallas.jpg',b'GSM',b'GSM 900 / 1800',b'Flashlight',,,,,b'2011',b'Discontinued',b'109 x 46 x 12.4 mm (4.29 x 1.81 x 0.49 in)',b'80 g (2.82 oz)',b'Mini-SIM',b'TFT',"b'2.4 inches, 17.8 cm2 (~35.6% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",,,,,b'microSDHC (dedicated slot)',b'1.4MB',,,b'No',b'VGA',,,b'Yes',,b'No',b'2.0',b'No',,b'FM radio',b'microUSB',b'',b'Removable Li-Ion battery',,b'Black',,,,,,b'No',b'MP3 player Organizer Predictive text input',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 240 h',b'Up to 5 h',,b'Yes',b'No',b'500 entries',b'Yes',b'SMS',b'No',b'No',
b'orange',b'Orange San Francisco',b'https://fdn2.gsmarena.com/vv/bigpic/orange-san-francisco.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',b'No',b'HSDPA 900 / 2100',,,b'HSPA 7.2/5.76 Mbps',"b'2011, Q2. Released 2011, Q2'",b'Discontinued',b'116 x 56.5 x 11.8 mm (4.57 x 2.22 x 0.46 in)',b'130 g (4.59 oz)',b'Mini-SIM',"b'AMOLED, 256K colors'","b'3.5 inches, 34.9 cm2 (~53.2% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~267 ppi density)'","b'Android 2.1 (Eclair), upgradable to 2.2 (Froyo)'",b'Qualcomm MSM7227 Snapdragon S1',b'600 MHz ARM 11',b'Adreno 200',b'microSDHC (dedicated slot)',"b'512MB RAM, 512MB'",,,b'Yes',"b'3.15 MP, AF'",,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",,"b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Ion 1250 mAh battery',,b'Black',,,,,,b'MP4/H.264 player MP3/WAV/eAAC+ player Organizer Voice memo Predictive text input',,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 216 h',b'Up to 4 h',,,,,,,,,
b'orange',b'Orange Stockholm',b'https://fdn2.gsmarena.com/vv/bigpic/orange-stockholm.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'No',b'HSDPA 900 / 2100',,,b'HSPA',"b'2011, Q2. Released 2011, Q2'",b'Discontinued',b'104 x 56 x 13 mm (4.09 x 2.20 x 0.51 in)',b'130 g (4.59 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'2.8 inches, 24.3 cm2 (~41.7% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'Android 2.2 (Froyo)',,,,b'microSDHC (dedicated slot)',b'120MB',,,b'Yes',"b'3.15 MP, AF'",,,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g, UMA'","b'2.1, A2DP'",b'Yes',,b'No',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Removable Li-Ion battery',,b'Black',,,,,,b'MP4/H.264 player MP3/WAV/eAAC+ player Organizer Voice memo Predictive text input',,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 336 h',b'Up to 4 h',,,,,,,,,
b'orange',b'Orange Atlanta',b'https://fdn2.gsmarena.com/vv/bigpic/zte-orange-atlanta.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',b'No',b'HSDPA 900 / 2100',,,b'HSPA',"b'2011, Q2. Released 2011, Q2'",b'Discontinued',b'116 x 49 x 11.3 mm (4.57 x 1.93 x 0.44 in)',b'84 g (2.96 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'2.4 inches, 17.8 cm2 (~31.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",,,,,b'microSD (dedicated slot)',b'11MB',,,b'Yes',b'2 MP',,,b'Yes',b'No',b'No',b'Yes',b'No',,b'FM radio',b'Proprietary',b'',b'Removable Li-Ion battery',,b'Black',,,,,,b'MP4/H.263 player MP3/WAV/eAAC+ player Organizer Voice memo Predictive text input',,,,,,,,,,,,,,,,,,b'0.90 W/kg (head)',,,,,,,,b'Up to 180 h',b'Up to 3 h',,,,"b'Yes, Photocall'",b'Yes',"b'SMS, MMS, Email'",b'Yes',b'Yes',
b'orange',b'Orange Barcelona',b'https://fdn2.gsmarena.com/vv/bigpic/orange-barcelona.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',b'No',b'HSDPA 900 / 2100',,,b'HSPA',"b'2011, Q2. Released 2011, Q2'",b'Discontinued',b'115 x 63 x 9.9 mm (4.53 x 2.48 x 0.39 in)',b'115 g (4.06 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'2.6 inches, 20.9 cm2 (~28.9% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio'",b'Android 2.2 (Froyo)',,,,b'microSDHC (dedicated slot)',,,,b'Yes',"b'3.15 MP, AF'",,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP'","b'Yes, with A-GPS'",,"b'Stereo FM radio, RDS'",b'microUSB 2.0',b'Accelerometer',b'Removable Li-Ion battery',,b'Black',,,,,,b'MP4/H.264 player MP3/WAV/eAAC+ player Organizer Voice memo Predictive text input',,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 288 h',b'Up to 7 h',,,,,,,,,b'QWERTY'
b'orange',b'Orange Rio II',b'https://fdn2.gsmarena.com/vv/bigpic/orange-rio-ii.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',b'No',b'HSDPA 900 / 1900 / 2100',,,b'HSPA',"b'2011, Q2. Released 2011, Q2'",b'Discontinued',b'110 x 61 x 12.5 mm (4.33 x 2.40 x 0.49 in)',b'106 g (3.74 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors'","b'2.4 inches, 17.8 cm2 (~26.6% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~167 ppi density)'",,,,,b'microSDHC (dedicated slot)',b'80MB',,,b'Yes',b'3.15 MP',,,b'Yes',b'Yes',b'No',b'Yes',b'No',,b'Stereo FM radio',b'miniUSB',b'Accelerometer',b'Removable Li-Ion battery',,b'White',,,,,,b'SNS applications MP4/H.263 player MP3/WAV/eAAC+ player Organizer Voice memo Predictive text input',,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 144 h',b'Up to 4 h',,,,"b'Yes, Photocall'",b'Yes',"b'SMS(threaded view), MMS, Email, IM'",b'Yes',b'',b'QWERTY'
b'orange',b'Orange Rio',b'https://fdn2.gsmarena.com/vv/bigpic/orange-rio.jpg',b'GSM',b'GSM 900 / 1800',b'No',,,,,b'2011. Released 2011',b'Discontinued',b'107 x 61 x 12 mm (4.21 x 2.40 x 0.47 in)',b'90 g (3.17 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors'","b'2.4 inches, 17.8 cm2 (~27.3% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~167 ppi density)'",,,,,b'microSDHC (dedicated slot)',b'6MB',,,b'Yes',b'2 MP',,,b'Yes',b'Yes',b'No',b'Yes',b'No',,b'FM radio',b'miniUSB 2.0',b'',b'Removable Li-Ion battery',,"b'Black, Pink'",,,,,,b'MP3/eAAC+ player MP4/H.263 player Organizer Voice memo Predictive text input',,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 480 h',b'Up to 8 h',,b'Class 12',b'Yes',"b'Yes, Photocall'",b'Yes',"b'SMS, MMS, Email, IM'",b'Yes',"b'Yes, MIDP 2.0'",b'QWERTY'
