Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Build,Protection,Quad,_1,_1_1,128GB 8GB RAM,Dual,32GB 2GB RAM,32GB 3GB RAM,SAR,128GB 4GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,64GB 4GB RAM,8GB 1GB RAM,256GB 8GB RAM,256GB 12GB RAM,SAR EU,512GB 12GB RAM,Audio quality,64GB 3GB RAM,256GB 6GB RAM,Single_1,64GB 6GB RAM,Dual_1,Stand-by,Talk time,Infrared port,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Alert types,Languages
b'palm',b'Palm Palm',b'https://fdn2.gsmarena.com/vv/bigpic/palm-pepito1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'IP68 dust/water resistant (up to 1m for 30 mins)',b'HSDPA 850 / 1700(AWS) / 1900 / 2100',"b'2, 4, 5, 12, 13, 17, 66'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, October'","b'Available. Released 2018, November'",b'96.6 x 50.6 x 7.4 mm (3.80 x 1.99 x 0.29 in)',b'62.5 g (2.22 oz)',b'Nano-SIM',b'IPS LCD',"b'3.3 inches, 30.0 cm2 (~61.4% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~445 ppi density)'",b'Android 8.1 (Oreo)',b'Qualcomm MSM8940 Snapdragon 435 (28 nm)',b'Octa-core (4x1.4 GHz & 4x1.1 GHz)',b'Adreno 505',b'No',b'32GB 3GB RAM',,"b'LED flash, HDR'",b'720p@30fps',"b'12 MP, AF'",,b'720p@30fps',"b'Yes, with dual speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'No',b'USB Type-C 2.0',"b'Infrared face recognition, accelerometer, proximity, gyro, compass'","b'Li-Ion 800 mAh, non-removable'","b'Fast charging, 50% in 31 min, 100% in 68 min (advertised)'","b'Gold, Titanium'",,b'About 400 EUR',"b'Glass front (Gorilla Glass 3), glass back (Gorilla Glass 3), aluminum frame'",b'Corning Gorilla Glass 3',,b'eMMC 5.1',,,,,,,,,,,,,,,,,,b'0.98 W/kg (head)',,,,,b'8 MP',,,,,,,,,,,,,,,,
b'palm',b'Palm Pre 2',b'https://fdn2.gsmarena.com/vv/bigpic/palm-pre-2-ofic.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 900 / 2100',b'HSDPA 850 / 1900',,,b'HSPA 7.2/2 Mbps',"b'2010, October. Released 2010, November'",b'Discontinued',b'100.7 x 59.6 x 16.9 mm (3.96 x 2.35 x 0.67 in)',b'145 g (5.11 oz)',b'Mini-SIM',b'TFT',"b'3.1 inches, 28.6 cm2 (~47.7% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~186 ppi density)'",b'HP webOS 2.0',,b'1.0 GHz',,b'No',b'16GB 512MB RAM',,b'LED flash',b'Yes',b'5 MP',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",,,b'microUSB 2.0',"b'Accelerometer, proximity'",b'Removable Li-Ion battery',b'Wireless charging',b'Black',,b'About 260 EUR',,b'Corning Gorilla Glass',,b'No',,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 350 h',b'Up to 5 h 30 min',,,,,,,,,b'QWERTY',"b'HTML, Adobe Flash'",,
b'palm',b'Palm Pre 2 CDMA',b'https://fdn2.gsmarena.com/vv/bigpic/palm-pre-2-ofic.jpg',b'CDMA / EVDO',b'CDMA 800 / 1900',b'No',b'CDMA2000 1xEV-DO',,,b'EV-DO Rev.A 3.1 Mbps',"b'2010, October. Released 2010, October'",b'Discontinued',b'100.7 x 59.6 x 16.9 mm (3.96 x 2.35 x 0.67 in)',b'145 g (5.11 oz)',b'Mini-SIM',b'TFT',"b'3.1 inches, 28.6 cm2 (~47.7% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~186 ppi density)'",b'HP webOS 2.0',,b'1.0 GHz',,b'No',b'16GB 512MB RAM',,b'LED flash',b'Yes',b'5 MP',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP'","b'Yes, with A-GPS'",,,b'microUSB 2.0',"b'Accelerometer, proximity'",b'Removable Li-Ion battery',,b'Black',,b'About 210 EUR',,b'Corning Gorilla Glass',,b'MP3/WAV/eAAC+ player MP4/H.264 player Organizer Document viewer Voice memo/dial Predictive text input',,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 350 h',b'Up to 5 h',,,,,,,,,b'QWERTY',"b'HTML, Adobe Flash'",,
b'palm',b'Palm Pixi Plus',b'https://fdn2.gsmarena.com/vv/bigpic/palm-pixi-plus-ofic.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 - for AT&T',b'HSDPA 2100',,,b'HSPA 7.2/5.76 Mbps',"b'2010, March. Released 2010, June'",b'Discontinued',b'111 x 55 x 10.9 mm (4.37 x 2.17 x 0.43 in)',b'92.5 g (3.25 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'2.63 inches, 21.8 cm2 (~35.7% screen-to-body ratio)'",b'320 x 400 pixels (~195 ppi density)',b'Palm webOS',b'Qualcomm MSM7627',b'600 MHz ARM 11',b'Adreno 200',b'No',b'8GB',,b'LED flash',b'Yes',b'2 MP',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP'","b'Yes, with A-GPS'",,b'No',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Removable Li-Ion 1150 mAh battery',,b'Black',,b'About 210 EUR',,,,b'No',b'MP3/WAV/eAAC+ player MP4/H.264 player Organizer Document viewer Voice memo/dial',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 350 h',b'Up to 5 h 30 min (2G) / Up to 4 h (3G)',,,,,,,,,b'QWERTY',b'WAP 2.0 / HTML',,
b'palm',b'Palm Pre Plus',b'https://fdn2.gsmarena.com/vv/bigpic/palm-pre-plus-ofic.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 - for AT&T',b'HSDPA 2100',,,b'HSPA 3.6/0.384 Mbps',"b'2010, March. Released 2010, May'",b'Discontinued',b'100.5 x 59.5 x 16.9 mm (3.96 x 2.34 x 0.67 in)',b'138 g (4.87 oz)',b'Mini-SIM',b'TFT',"b'3.1 inches, 28.6 cm2 (~47.9% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~186 ppi density)'",b'Palm webOS 1.3.5',,b'600 MHz Cortex-A8',b'PowerVR SGX',b'No',b'16GB 512MB RAM',,b'LED flash',b'Yes',b'3.15 MP',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP'","b'Yes, with A-GPS'",,b'No',b'microUSB 2.0',b'Accelerometer',b'Removable Li-Ion 1150 mAh battery',b'Wireless charging',b'Black',,b'About 170 EUR',,,,b'No',,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 350 h (2G) / - (3G)',b'Up to 4 h (2G) / Up to 4 h (3G)',,,,,,,,,b'QWERTY',b'WAP 2.0 / HTML',,
b'palm',b'Palm Pixi',b'https://fdn2.gsmarena.com/vv/bigpic/palm-pixi.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'No',b'HSDPA 850 / 1900 / 2100',,,b'HSPA 7.2/5.76 Mbps',"b'2009, September. Released 2009, Q4'",b'Discontinued',b'111 x 55 x 10.9 mm (4.37 x 2.17 x 0.43 in)',b'99.5 g (3.53 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'2.63 inches, 21.8 cm2 (~35.7% screen-to-body ratio)'",b'320 x 400 pixels (~195 ppi density)',b'Palm webOS',b'Qualcomm MSM7627',b'600 MHz ARM 11',b'Adreno 200',b'No',b'8GB',,b'LED flash',b'No',b'2 MP',,,b'Yes',b'Yes',b'No',"b'2.1, A2DP'","b'Yes, with A-GPS'",,b'No',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Removable Li-Ion 1150 mAh battery',,b'Black',,b'About 120 EUR',,,,b'MP3/WAV/eAAC+ player MP4/H.264 player Organizer Document viewer Voice memo/dial',,,,,,b'1.56 W/kg (head) \xc2\xa0 \xc2\xa0 0.63 W/kg (body)',,,,,,,,,,,,,,,,,,,,b'Up to 350 h',b'Up to 5 h',,,,,,,,,b'QWERTY',b'WAP 2.0 / HTML',,
b'palm',b'Palm Pre',b'https://fdn2.gsmarena.com/vv/bigpic/palm-pre.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'No',b'HSDPA 850 / 1900 / 2100',,,b'HSPA 3.6/0.384 Mbps',"b'2009, Februray. Released 2009, October'",b'Discontinued',b'100.5 x 59.5 x 16.9 mm (3.96 x 2.34 x 0.67 in)',b'133 g (4.69 oz)',b'Mini-SIM',b'TFT',"b'3.1 inches, 28.6 cm2 (~47.9% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~186 ppi density)'",b'Palm webOS',,b'600 MHz Cortex-A8',b'PowerVR SGX',b'No',b'8GB 256MB RAM',,b'LED flash',b'No',b'3.15 MP',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP (headset support only)'",b'Yes',,b'No',b'microUSB',b'Accelerometer',b'Removable Li-Ion 1150 mAh battery',b'Wireless charging',b'Black',,b'About 180 EUR',,,,,,,,,,b'0.92 W/kg (head) \xc2\xa0 \xc2\xa0 0.94 W/kg (body)',,,,b'Photo',b'Voice 71dB / Noise 68dB / Ring 80dB',,,,,,,,,b'Noise -95.7dB / Crosstalk -53.9dB',,,,,,b'Up to 300 h',b'Up to 5 h',,,,,,,,,b'QWERTY',b'WAP 2.0 / HTML',,
b'palm',b'Palm Treo Pro',b'https://fdn2.gsmarena.com/vv/bigpic/palm-treo-pro.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'5-way navigation button',b'HSDPA 850 / 1900 / 2100',,,b'HSPA',"b'2008, August. Released 2008, October'",b'Discontinued',b'114 x 60 x 13.4 mm (4.49 x 2.36 x 0.53 in)',b'133 g (4.69 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.5 inches, 20.2 cm2 (~29.5% screen-to-body ratio)'","b'320 x 320 pixels, 1:1 ratio (~181 ppi density)'",b'Microsoft Windows Mobile 6.1 Professional',b'Qualcomm MSM7201',b'528 MHz ARM 11',b'Adreno 130',b'microSDHC (dedicated slot)',b'100MB 128MB RAM',,,b'Yes',b'2 MP',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP'",b'Yes',,b'No',b'microUSB',b'',b'Removable Li-Ion 1500 mAh battery',,b'Obsidian',,b'About 70 EUR',,,,b'No',b'Organizer Pocket Office  Voice memo',,,,,b'0.60 W/kg (head) \xc2\xa0 \xc2\xa0 0.87 W/kg (body)',,,,,,,,,,,,b'0.75 W/kg (head) \xc2\xa0 \xc2\xa0 0.53 W/kg (body)',,,,,,,,b'Up to 250 h',b'Up to 5  h',b'Yes',,,,,,,,b'QWERTY',b'WAP 2.0 / HTML (PocketIE)',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",
b'palm',b'Palm Centro',b'https://fdn2.gsmarena.com/vv/bigpic/palm-centro.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'5-way navigation button',,,,,"b'2008, February. Released 2008, March'",b'Discontinued',b'107.2 x 53.5 x 18.6 mm (4.22 x 2.11 x 0.73 in)',b'124 g (4.37 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.25 inches, 16.3 cm2 (~28.5% screen-to-body ratio)'","b'320 x 320 pixels, 1:1 ratio (~201 ppi density)'",b'Palm OS 5.4.9',,b'32-bit Intel XScale PXA270 312 MHz',,b'microSDHC (dedicated slot)',b'64MB',,,b'Yes',b'1.3 MP',,,b'Yes',b'No',b'No',"b'1.2, A2DP'",b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 1150 mAh battery',,"b'Obsidian, Glacier, Midnight, Cobalt, Onyx, Electric Blue, Rose, Olive'",,b'About 70 EUR',,,,b'No',"b'Document editor (Word, Excel, Powerpoint, PDF) MP3 player Organizer Voice memo'",,,,,b'0.27 W/kg (head) \xc2\xa0 \xc2\xa0 0.22 W/kg (body)',,,,,,,,,,,,,,,,,,,,b'Up to 300 h',b'Up to 4 h',b'Yes',b'Class 10',b'Class 10',,,,,,b'QWERTY',b'WAP 2.0 / HTML (Blazer 4.5)',b'Vibration; Downloadable polyphonic ringtones',
b'palm',b'Palm Treo 500v',b'https://fdn2.gsmarena.com/vv/bigpic/palm-treo500v.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'5-way navigation button',b'UMTS 2100',,,"b'Yes, 384 kbps'","b'2007, September. Released 2008, February'",b'Discontinued',b'110 x 61.5 x 16.5 mm (4.33 x 2.42 x 0.65 in)',b'120 g (4.23 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.4 inches, 17.8 cm2 (~26.4% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~167 ppi density)'",b'Microsoft Windows Mobile 6.0 Standard Edition',,b'32-bit Intel XScale PXA270 312 MHz',,b'microSD (dedicated slot)',b'150MB',,,b'Yes',b'2 MP',,,b'Yes',b'No',b'No',"b'2.0, A2DP'",b'No',,b'No',b'miniUSB',b'',b'Removable Li-Ion 1200 mAh battery',,"b'Black, White'",,b'About 90 EUR',,,,b'No',b'MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Organizer Pocket Office  Voice memo',,,,,,,,,,,,,,,,,b'0.89 W/kg (head)',,,,,,,,b'Up to 240 h',b'Up to 4 h 30 min',,,,,,,,,b'QWERTY',b'WAP 2.0 / HTML (PocketIE)',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",
b'palm',b'Palm Treo 750',b'https://fdn2.gsmarena.com/vv/bigpic/palm-treo750.gif',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'5-way navigation button',b'HSDPA 850 / 1900 / 2100',,,"b'Yes, 384 kbps'","b'2007, February'",b'Discontinued',b'111 x 58 x 22 mm (4.37 x 2.28 x 0.87 in)',b'154 g (5.43 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.5 inches, 20.2 cm2 (~31.3% screen-to-body ratio)'","b'240 x 240 pixels, 1:1 ratio (~136 ppi density)'",b'Microsoft Windows Mobile 5.0 PocketPC',,b'300 MHz Samsung',,"b'miniSD, up to 2 GB'",b'60MB',,,b'Yes',b'1.3 MP',,,b'Yes',b'No',b'No',"b'1.2, A2DP'",b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 1200 mAh battery',,b'Black',,b'About 80 EUR',,,,b'No',b'MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Organizer Pocket Office  Voice memo',,,,,b'0.59 W/kg (head) \xc2\xa0 \xc2\xa0 0.15 W/kg (body)',,,,,,,,,,,,,,,,,,,,b'Up to 200 h',b'Up to 4 h 30 min',b'Yes',,,,,,,,b'QWERTY',b'WAP 2.0 / HTML (PocketIE)',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",
b'palm',b'Palm Treo 680',b'https://fdn2.gsmarena.com/vv/bigpic/palm-treo680.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'5-way navigation button',,,,,"b'2006, October'",b'Discontinued',b'111.8 x 58.4 x 20.3 mm (4.40 x 2.30 x 0.80 in)',b'157 g (5.54 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.5 inches, 20.2 cm2 (~30.9% screen-to-body ratio)'","b'320 x 320 pixels, 1:1 ratio (~181 ppi density)'",b'Palm OS 5.4.9',,b'Intel PXA270 312 MHz',,"b'SD/MMC, up to 4 GB'",b'64MB',,,b'CIF',b'VGA',,,b'Yes',b'No',b'No',"b'1.2, A2DP'",b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion battery',,"b'Graphite, Crimson, Arctic, Copper'",,b'About 220 EUR',,,,b'No',"b'Document editor (Word, Excel, PowerPoint, PDF) MP3 player Organizer Voice memo'",,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 300 h',b'Up to 4 h',b'Yes',b'Class 10',b'Class 10',,,,,,b'QWERTY',b'WAP 2.0 / HTML (Blazer 4.5)',b'Vibration; Downloadable polyphonic ringtones',
b'palm',b'Palm Treo 750v',b'https://fdn2.gsmarena.com/vv/bigpic/palm-treo750v.gif',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'5-way navigation button',b'HSDPA 850 / 1900 / 2100',,,"b'Yes, 384 kbps'","b'2006, September'",b'Discontinued',b'111 x 58 x 22 mm (4.37 x 2.28 x 0.87 in)',b'154 g (5.43 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.5 inches, 20.2 cm2 (~31.3% screen-to-body ratio)'","b'240 x 240 pixels, 1:1 ratio (~136 ppi density)'",b'Microsoft Windows Mobile 5.0 PocketPC',,b'300 MHz Samsung',,"b'miniSD, up to 2 GB'",b'60MB',,,b'Yes',b'1.3 MP',,,b'Yes',b'No',b'No',"b'1.2, A2DP'",b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 1200 mAh battery',,b'Black',,,,,,b'No',b'MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Organizer Pocket Office  Voice memo',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 240 h',b'Up to 4 h 30 min',b'Yes',,,,,,,,b'QWERTY',b'WAP 2.0 / HTML (PocketIE)',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",
b'palm',b'Palm Treo 650',b'https://fdn2.gsmarena.com/vv/bigpic/hst650.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'Five-way navigation button',,,,,"b'2004, Q4'",b'Discontinued',b'113 x 59 x 23 mm (4.45 x 2.32 x 0.91 in)',b'178 g (6.28 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.4 inches, 44 x 44 mm, 18.6 cm2 (~27.9% screen-to-body ratio)'","b'320 x 320 pixels, 1:1 ratio (~189 ppi density)'",b'Palm 5.4',,b'Intel PXA270 312 MHz',,"b'SD/SDIO/MMC, up to 2 GB'",b'23MB',,,b'Yes',b'VGA',,,b'Yes',b'No',b'No',b'Yes',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion battery',,b'',,,,,,b'No',b'MP3 player Organizer World Clock',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 300 h',b'Up to 6 h',b'Yes',b'Class 10',b'Class 10',,,,,,b'QWERTY',b'HTML',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",
b'palm',b'Palm Treo 600',b'https://fdn2.gsmarena.com/vv/bigpic/hst600.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'Five-way navigation button',,,,,"b'2003, Q4'",b'Discontinued',b'112 x 60 x 22 mm (4.41 x 2.36 x 0.87 in)',b'168 g (5.93 oz)',b'Mini-SIM',"b'CSTN resistive touchscreen, 4096 colors'","b'2.5 inches, 20.2 cm2 (~30.0% screen-to-body ratio)'","b'160 x 160 pixels, 1:1 ratio (~91 ppi density)'",b'Palm 5.2.1H',b'TI OMAP 1510',b'144 MHz ARM925T',,"b'SD/MMC, up to 2 GB'",b'32MB',,,b'No',b'VGA',,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion battery',,"b'2 - Silver, Carbon'",,,,,,b'24 MB available',b'144 MHz ARM Processor Organizer Advanced calculator Handsfree ear-bud headset included',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 240 h',b'Up to 6 h',b'Yes',b'Yes',b'No',,,,,,b'QWERTY',b'HTML (Blazer)',b'Vibration; Downloadable polyphonic ringtones',"b'English, French, German, Italian, Spanish'"
b'palm',b'Palm Treo 270',b'https://fdn2.gsmarena.com/vv/bigpic/hst270.gif',b'GSM',b'GSM 900 / 1800',b'GSM 900 / 1900 - US version',,,,,b'2003',b'Discontinued',b'108 x 71 x 21 mm (4.25 x 2.80 x 0.83 in)',b'153 g (5.40 oz)',b'Mini-SIM',"b'CSTN resistive touchscreen, 4096 colors'",b'',"b'160 x 160 pixels, 1:1 ratio'",b'Palm 3.5.2H4',,b'Motorola DragonBall VZ MC68VZ328 33MHz',,b'No',b'16MB',,,,,,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion battery',,b'Steel Grey',,,,,,b'No',b'33 MHz Motorola Dragonball Processor Organizer Advanced calculator GPRS upgradable Handsfree ear-bud headset included',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 150 h',b'Up to 3 h',b'Yes',b'No',b'No',,,,,,b'QWERTY',b'HTML (Blazer 2.1)',b'Vibration; Monophonic ringtones',
b'palm',b'Palm Treo 180',b'https://fdn2.gsmarena.com/vv/bigpic/hst180.gif',b'GSM',b'GSM 900 / 1800',b'GSM 900 / 1900 - US version',,,,,b'2002',b'Discontinued',b'108 x 71 x 21 mm (4.25 x 2.80 x 0.83 in)',b'147 g (5.19 oz)',b'Mini-SIM',"b'Monochrome resistive touchscreen, 16 shades'",b'',"b'160 x 160 pixels, 1:1 ratio'",b'Palm 3.5.2H',,b'Motorola DragonBall VZ MC68VZ328 33MHz',,b'No',b'16MB',,,,,,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion battery',,b'Steel Blue',,,,,,b'No',b'33 MHz Motorola Dragonball Processor Organizer Advanced calculator GPRS upgradable Handsfree ear-bud headset included',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 100 h',b'Up to 2 h 30 min',b'Yes',b'No',b'No',,,,,,b'QWERTY',b'HTML (Blazer 2.0)',b'Vibration; Monophonic ringtones',
