Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,SAR,SAR EU,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 12GB RAM,256GB 12GB RAM,512GB 16GB RAM,Triple,128GB 8GB RAM,256GB 8GB RAM,32GB 3GB RAM,64GB 4GB RAM,128GB 4GB RAM,Dual,128GB 6GB RAM,Single_1,512GB 12GB RAM,8GB 1GB RAM,16GB 1GB RAM,32GB 2GB RAM,64GB 6GB RAM,Audio quality,512GB 8GB RAM,16GB 2GB RAM,4GB 768MB RAM,4GB 1.5GB RAM,GPRS,EDGE,1TB 12GB RAM,32GB 4GB RAM,Triple_1,Dual_1,Stand-by,Talk time,Music play,256GB 6GB RAM,256GB 4GB RAM,Infrared port,Talk time_1,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Stand-by_1,Alert types,Clock,Alarm,Languages
b'siemens',b'Siemens AX75',b'https://fdn2.gsmarena.com/vv/bigpic/siemens-ax75.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'GSM 850 / 1800 / 1900 - US version',,b'4-way navigation key Softkeys',,,,"b'2005, Q1'",b'Discontinued',"b'106 x 47 x 18 mm, 75 cc (4.17 x 1.85 x 0.71 in)'",b'76 g (2.68 oz)',,b'Mini-SIM',b'Predictive text input Organizer Voice dial/voice command Optional VGA camera',"b'CSTN, 65K colors'",b'',"b'128 x 128 pixels, 7 lines, 1:1 ratio'",,,,,,b'No',b'1.5MB',,,,,,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 600 mAh battery',,"b'2 - Ice Blue, Cream Stone'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 8',b'No',,,,,b'Up to 220 h',b'Up to 5 h',,,,b'Yes',,b'500 x 12 fields',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'",b'Yes + downloadable',"b'Yes, MIDP 1.0'",,b'WAP 1.2.1',,b'Vibration; Downloadable polyphonic ringtones',,,
b'siemens',b'Siemens A75',b'https://fdn2.gsmarena.com/vv/bigpic/siemens-a75.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'GSM 850 / 1800 / 1900 - US version',,b'4-way navigation key Screensaver',,,,"b'2005, Q1'",b'Discontinued',b'101 x 44 x 20 mm (3.98 x 1.73 x 0.79 in)',b'78 g (2.75 oz)',,b'Mini-SIM',b'Predictive text input Calculator Stopwatch',"b'CSTN, 4096 colors'",b'',b'101 x 80 pixels',,,,,,b'No',,,,,,,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 650 mAh battery',,"b'2 - Atlantic Blue, Polar Silver'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 8',b'No',,,,,b'Up to 250 h',b'Up to 5 h',,,,,,"b'100 numbers, 4 groups'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS'",b'2 - Stack Attack Junior and Magic Picture',b'No',,b'WAP 1.2.1',,b'Polyphonic(32) ringtones',,,
b'siemens',b'Siemens A70',b'https://fdn2.gsmarena.com/vv/bigpic/siemens-a70.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'GSM 850 / 1800 / 1900 - US version',,b'Softkeys',,,,"b'2005, Q1'",b'Discontinued',b'101 x 45 x 20 mm (3.98 x 1.77 x 0.79 in)',b'78 g (2.75 oz)',,b'Mini-SIM',b'Predictive text input Calculator',b'Monochrome graphic',b'',b'101 x 64 pixels',,,,,,b'No',,,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 650 mAh battery',,"b'2 - Pebble, Palladium'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'',b'No',,,,,b'Up to 250 h',b'Up to 5 h',,,,,,b'250 entries (SIM)',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS'",b'2 -  Balloon Shooter and Stack Attack',b'No',,b'',,b'Vibration; Polyphonic(32) ringtones',,,
b'siemens',b'Siemens SF65',b'https://fdn2.gsmarena.com/vv/bigpic/sisf65.gif',b'GSM',b'GSM 900 / 1800',b'Swivel and rotate 180 deg Screensavers and wallpapers Downloadable logos',,b'No',,,,"b'2004, Q3'",b'Discontinued',"b'91 x 44 x 23 mm, 86 cc (3.58 x 1.73 x 0.91 in)'",b'97 g (3.42 oz)',,b'Mini-SIM',b'Predictive text input Photo editor Organizer',"b'TFT, 65K colors'",b'',b'128 x 160 pixels',,,,,,b'No',b'20MB',,b'LED flash',b'No',b'1.3 MP',,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 660 mAh battery',,"b'2 - Polar white, Onyx black'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 400 h',b'Up to 4 h',,,,b'Yes',,"b'500 x 9 files, Photo call'","b'30 received, dialed and missed calls'","b'SMS, EMS, MMS, EMail'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,b'WAP 1.2.1',,b'Vibration; Downloadable polyphonic ringtones',,,
b'siemens',b'Siemens CX70 Emoty',b'https://fdn2.gsmarena.com/vv/bigpic/sicx70em.gif',b'GSM',b'GSM 900 / 1800 / 1900',"b'5-way joystick Downloadable logos Integrated stroke, press and shake sensors control 3 preinstalled Emoty characters'",,b'No',,,,"b'2004, Q3'",b'Discontinued',b'115 x 56 x 24 mm (4.53 x 2.20 x 0.94 in)',b'116 g (4.09 oz)',,b'Mini-SIM',b'Push-To-Talk Predictive text input Stopwatch Organizer Emoty characters can be sent via MMS Clip-it covers',"b'TFT, 65K colors'",b'',"b'132 x 176 pixels, 9 lines, 4:3 ratio'",,,,,,b'No',b'9.5MB',,,b'Yes',b'VGA',,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 750 mAh battery',,b'Bluewater',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 300 h',b'Up to 5 h 30 min',,,,b'Yes',,"b'14 fields, in shared memory, Photo call'","b'100 dialed, 100 received, 100 missed calls'","b'SMS, MMS, Email'",b'Yes + downloadable',b'Yes',,b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
b'siemens',b'Siemens CX70',b'https://fdn2.gsmarena.com/vv/bigpic/sicx70.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'5-way joystick Downloadable logos',,b'No',,,,"b'2004, Q3'",b'Discontinued',b'108 x 46 x 18 mm (4.25 x 1.81 x 0.71 in)',b'90 g (3.17 oz)',,b'Mini-SIM',"b'Push-To-Talk Predictive text input Stopwatch Organizer Voice dial, command Clip-it covers'","b'TFT, 65K colors'",b'',"b'132 x 176 pixels, 9 lines, 4:3 ratio'",,,,,,b'No',b'9.5MB',,,b'Yes',b'VGA',,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 750 mAh battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 250 h',b'Up to 5 h',,,,b'Yes',,"b'14 fields, in shared memory, Photo call'","b'100 dialed, 100 received, 100 missed calls'","b'SMS, MMS, Email'",b'Yes + downloadable',b'Yes',,b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
b'siemens',b'Siemens SX66',b'https://fdn2.gsmarena.com/vv/bigpic/sisx66.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'Downloadable logos',,b'No',,,,"b'2004, Q4'",b'Discontinued',b'125 x 71 x 18 mm (4.92 x 2.80 x 0.71 in)',b'210 g (7.41 oz)',,b'Mini-SIM',b'Microsoft ActiveSync MP3/AAC player Predictive text input',"b'TFT resistive touchscreen, 65K colors'","b'3.5 inches, 53 x 71 mm, 37.9 cm2 (~42.7% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~114 ppi density)'",,b'Microsoft Windows Mobile 2003 SE PocketPC',,b'Intel Xscale PXA272 520 MHz',,b'SDIO/MMC',b'128MB RAM',,,,,,,b'Yes',b'No',b'Wi-Fi 802.11b',b'Yes',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion battery',,b'Silver',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 200 h',b'Up to 4 h',,,,b'Yes',,,,,,,b'QWERTY',b'HTML (PocketIE)',,"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,
b'siemens',b'Siemens SK65',b'https://fdn2.gsmarena.com/vv/bigpic/sisk65.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Downloadable pictures',,b'30 MB available to user',,,,"b'2004, Q3'",b'Discontinued',"b'120 x 47 x 22 mm, 115 cc (4.72 x 1.85 x 0.87 in)'",b'144 g (5.08 oz)',,b'Mini-SIM',b'Push to talk (VoIP service) E-mail push based on BlackBerry Built-In technology from RIM Predictive text input SyncML Organizer',"b'TFT, 65K colors'",b'',"b'132 x 176 pixels, 4:3 ratio'",,,,,,b'No',b'64MB',,,,,,,b'Yes',b'No',b'No',b'1.2',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 750 mAh battery (EBA-660)',,b'Black Silver',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 250 h',b'Up to 5 h',,,,b'Yes',,b'2000',"b'100 dialed, 100 received, 100 missed calls'","b'SMS, MMS, Email'","b'3 - Chess master, Golf and Sea Battle + downloadable'","b'Yes, MIDP 2.0'",b'QWERTY',b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
b'siemens',b'Siemens A65',b'https://fdn2.gsmarena.com/vv/bigpic/sia65.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Download assistant for logos',,b'No',,,,"b'2004, July'",b'Discontinued',"b'101 x 45 x 19 mm, 72 cc (3.98 x 1.77 x 0.75 in)'",b'75 g (2.65 oz)',,b'Mini-SIM',b'Predictive text input Currency converter Calculator Stopwatch Reminder list Optional digital camera',"b'CSTN, 4096 colors'",b'',b'101 x 80 pixels',,,,,,b'No',b'1.5MB',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 700 mAh battery (EBA-510)',,b'Sparkling Silver and Mystery Silver',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 8',b'No',,,,,b'Up to 260 h',b'Up to 2 h',,,,,,b'50 entries',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'","b'Stack Attack Jr, Wappo, Magic Picture  + downloadable'","b'Yes, MIDP 2.0'",,b'WAP 1.2.1',,b'Vibration; Downloadable polyphonic ringtones',,,
b'siemens',b'Siemens A62',b'https://fdn2.gsmarena.com/vv/bigpic/sia62.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'4-way navi key Download assistant for logos',,b'No',,,,"b'2004, Q4'",b'Discontinued',"b'101 x 45 x 19 mm, 72 cc (3.98 x 1.77 x 0.75 in)'",b'76 g (2.68 oz)',,b'Mini-SIM',b'Predictive text input Currency converter Calculator Stopwatch Reminder list',"b'CSTN, 4096 colors'",b'',b'101 x 80 pixels',,,,,,b'No',,,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 700 mAh battery',,b'Denim Blue and Mystic Purple',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 8',b'No',,,,,b'Up to 250 h',b'Up to 5 h',,,,,,b'50 entries',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS'","b'MagicPicture, Stack Attack  + downloadable'",b'No',,b'WAP 1.2.1',,b'Vibration; Downloadable polyphonic ringtones',,,
b'siemens',b'Siemens A51',b'https://fdn2.gsmarena.com/vv/bigpic/sia51.gif',b'GSM',b'GSM 900 / 1800',b'Screensavers',,b'No',,,,"b'2004, Q4'",b'Discontinued',"b'103 x 46 x 21 mm, 75 cc (4.06 x 1.81 x 0.83 in)'",b'84 g (2.96 oz)',,b'Mini-SIM',b'Predictive text input Currency converter Calculator Exchangable covers',b'Monochrome graphic',b'',"b'101 x 64 pixels, 5 lines'",,,,,,b'No',,,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 700 mAh battery',,b'Urban Grey',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'',b'No',,,,,b'Up to 250 h',b'Up to 5 h',,,,,,b'50 entries',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS'",b'Stack Attack and Wacko',b'No',,b'WAP 1.2.1',,b'Downloadable polyphonic ringtones',,,
b'siemens',b'Siemens SL65',b'https://fdn2.gsmarena.com/vv/bigpic/sisl65.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'5-way navi key Downloadable logos',,b'No',,,,"b'2004, June'",b'Discontinued',"b'90 x 47.6 x 21 mm, 78 cc (3.54 x 1.87 x 0.83 in)'",b'99 g (3.49 oz)',,b'Mini-SIM',b'Predictive text input Stopwatch Organizer SyncML',"b'TFT, 65K colors'","b'1.8 inches, 10.5 cm2 (~24.4% screen-to-body ratio)'","b'130 x 130 pixels, 7 lines, 1:1 ratio (~102 ppi density)'",,,,,,b'No',b'11MB',,,b'Yes',b'VGA',,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 700 mAh battery (EBA-650)',,"b'2 - Ivory, Ebony'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 230',b'Up to 4h 3 min',,,,b'Yes',,b'Yes',"b'100 dialed, 100 received, 100 missed calls'","b'SMS, MMS, Email, Instant Messaging'","b'Yes - Golf, Rally + downloadable'","b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
b'siemens',b'Siemens CFX65',b'https://fdn2.gsmarena.com/vv/bigpic/sicfx65.gif',b'GSM',b'GSM 900 / 1800',b'Second external display B/W (96 x 64 pixels) Downloadable logos',,b'No',,,,"b'2004, June'",b'Discontinued',"b'85 x 48 x 23 mm, 78 cc (3.35 x 1.89 x 0.91 in)'",b'88 g (3.10 oz)',,b'Mini-SIM',"b'Predictive text input Organizer Stopwatch Supported formats: JPEG, GIF, PNG, BMP, WBMP Voice memo'","b'CSTN, 65K colors'",b'',b'128 x 160 pixels',,,,,,b'No',b'4MB',,b'LED flash',b'No',b'VGA',,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 600 mAh battery (EBA-670)',,"b'2 - Chameleon, Blue Pearl'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 200 h',b'Up to 3 h 20 min',,,,b'Yes',,"b'250 x 14 fields, Photo call'","b'100 dialed, 100 received, 100 missed calls'","b'SMS, EMS, MMS, Email(receive only)'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
b'siemens',b'Siemens S65',b'https://fdn2.gsmarena.com/vv/bigpic/sis65.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Download assistant for logos',,b'No',,,,"b'2004, March'",b'Discontinued',"b'109 x 48 x 18 mm, 85 cc (4.29 x 1.89 x 0.71 in)'",b'98 g (3.46 oz)',,b'Mini-SIM',b'Predictive text input Organizer Stopwatch Voice memo SyncML',"b'TFT, 65K colors'","b'2.1 inches, 32 x 42 mm, 13.7 cm2 (~26.1% screen-to-body ratio)'","b'132 x 176 pixels, 9 lines, 4:3 ratio (~105 ppi density)'",,,,,,"b'RS-MMC, 32 MB included'",b'11MB',,,b'Yes',b'1.3 MP',,,b'Yes',b'No',b'No',b'1.2',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 750 mAh battery (EBA-660)',,b'Steel Black',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 250 h',b'Up to 5 h',,,,b'Yes',,b'1000 x 20 fields',"b'100 dialed, 100 received, 100 missed calls'","b'SMS, EMS, MMS, Email, Instant messaging'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
b'siemens',b'Siemens M65',b'https://fdn2.gsmarena.com/vv/bigpic/sim65.gif',b'GSM',b'GSM 900 / 1800 / 1900',"b'Dust, shock and splash resistant Metal frame'",,b'No',,,,"b'2004, March'",b'Discontinued',"b'109 x 49 x 19 mm, 89 cc (4.29 x 1.93 x 0.75 in)'",b'104 g (3.67 oz)',,b'Mini-SIM',b'Organizer SyncML Photo editor Voice memo Predictive text input',"b'TFT, 65K colors'",b'',"b'132 x 176 pixels, 9 lines, 4:3 ratio'",,,,,,b'No',b'11MB',,,b'Yes',b'VGA',,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 750 mAh battery (EBA-660)',,b'Cool Gray',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 300 h',b'Up to 5 h',,,,b'Yes',,"b'14 fields, in shared memory'","b'100 received, 100 dialed and 100 missed calls'","b'SMS, EMS, MMS, Email'","b'Turrican, Team Point Blank, Stack Attack Advanced'","b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
b'siemens',b'Siemens C65',b'https://fdn2.gsmarena.com/vv/bigpic/sic65.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'GSM 850 / 1800 / 1900 - Siemens C66',,b'Download assistant for logos',,,,"b'2004, March'",b'Discontinued',"b'105 x 45 x 16 mm, 76 cc (4.13 x 1.77 x 0.63 in)'",b'86 g (3.03 oz)',,b'Mini-SIM',b'Predictive text input Stopwatch Organizer SyncML Clip-it covers',"b'CSTN, 65K colors'",b'',"b'130 x 130 pixels, 1:1 ratio'",,,,,,b'No',b'10MB',,,b'No',b'CIF',,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 600 mAh battery (EBA-670)',,b'Blue Shadow',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 250 h',b'Up to 6 h',,,,b'Yes',,"b'14 fields, in shared memory'","b'100 dialed, 100 received, 100 missed calls'","b'SMS, EMS, MMS'",b'Photopet + downloadable',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
b'siemens',b'Siemens CXT65',b'https://fdn2.gsmarena.com/vv/bigpic/sicxt65.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'5-way joystick Downloadable logos',,b'No',,,,b'2004',b'Discontinued',b'108 x 46 x 18 mm (4.25 x 1.81 x 0.71 in)',b'90 g (3.17 oz)',,b'Mini-SIM',b'Predictive text input Stopwatch Organizer Voice dial Voice command Clip-it covers User profiles SyncML',"b'TFT, 65K colors'",b'',"b'132 x 176 pixels, 9 lines, 4:3 ratio'",,,,,,b'No',b'11MB',,,b'Yes',b'VGA',,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 750 mAh battery',,b'Cool Silver',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 250 h',b'Up to 5 h',,,,b'Yes',,"b'14 fields, in shared memory, Photo call'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS, Email'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
b'siemens',b'Siemens CX65',b'https://fdn2.gsmarena.com/vv/bigpic/sicx65.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'GSM 850 / 1800 / 1900 - Siemens CX66',,b'5-way joystick Download assistant for logos',,,,"b'2004, February'",b'Discontinued',b'108 x 46 x 18 mm (4.25 x 1.81 x 0.71 in)',b'90 g (3.17 oz)',,b'Mini-SIM',b'Predictive text input Organizer Stopwatch Voice memo Clip-it covers User profiles SyncML',"b'TFT, 65K colors'","b'2.1 inches, 13.7 cm2 (~27.5% screen-to-body ratio)'","b'132 x 176 pixels, 9 lines, 4:3 ratio (~105 ppi density)'",,,,,,b'No',b'11MB',,,b'Yes',b'VGA',,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 750 mAh battery (EBA-660)',,b'Cool Silver',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 250 h',b'Up to 5 h',,,,b'Yes',,"b'14 fields, in mem, PhotoCall'","b'100 received, 100 dialed and 100 missed calls'","b'SMS, MMS, Email'",b'Yes',b'Yes',,b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
b'siemens',b'Siemens CF62',b'https://fdn2.gsmarena.com/vv/bigpic/sicf62.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'GSM 850 / 1800 / 1900 - Siemens CF63',,b'Second external monochrome display (blue illuminated) 4-way navi key Screensavers',,,,"b'2004, February'",b'Discontinued',"b'82 x 45 x 22 mm, 78 cc (3.23 x 1.77 x 0.87 in)'",b'85 g (3.00 oz)',,b'Mini-SIM',b'Predictive text input Organizer Optional digital camera',"b'CSTN, 65K colors'",b'',"b'130 x 130 pixels, 1:1 ratio'",,,,,,b'No',,,,,,,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 600 mAh battery (EBA-670)',,"b'2 - Cool Grey, Cool Cashmere'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 220 h',b'Up to 5 h',,,,,,b'500 x 15 fields',"b'10 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS'",b'Yes + downloadable',b'Yes',,b'WAP 1.2.1',,b'Vibration; Downloadable polyphonic ringtones',,,
b'siemens',b'Siemens A57',b'https://fdn2.gsmarena.com/vv/bigpic/sia57.gif',b'GSM',b'GSM 900 / 1800',"b'Softkeys Downloadable logos, animations'",,b'25 short messages',,,,"b'2004, Q2'",b'Discontinued',"b'103 x 46 x 21.5 mm, 75 cc (4.06 x 1.81 x 0.85 in)'",b'84 g (2.96 oz)',,b'Mini-SIM',b'Predictive text input Organizer Exchangeable Clip-it covers',b'Monochrome graphic',b'',"b'101 x 64 pixels, 5 lines'",,,,,,b'No',,,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 700 mAh battery (EBA-510)',,"b'Cassis, Pebble'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'No',b'No',,,,,b'Up to 250 h',b'Up to 2 h',,,,,,"b'50 entries, 4 groups, Picture call'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS'","b'4 - Stack Attack, Balloon Shooter, Move the Box, Wacko'",b'No',,b'WAP 1.2.1',,b'Vibration; Downloadable polyphonic ringtones',,,
b'siemens',b'Siemens PenPhone',b'https://fdn2.gsmarena.com/vv/bigpic/sipen.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'5-way navi key',,b'No',,,,"b'2004, Q1'",b'Cancelled',b'140 x 25 x 19 mm (5.51 x 0.98 x 0.75 in)',b'-',,b'Mini-SIM',b'Handwriting recognition Appointments and contacts',b'LCD',b'',b'',,,,,,b'No',,,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'',b'No',,,,,,,,,,,,b'',b'',b'SMS',b'',b'No',,b'',,b'Monophonic ringtones',,,
b'siemens',b'Siemens ST60',b'https://fdn2.gsmarena.com/vv/bigpic/sist60.gif',b'GSM',b'GSM 900 / 1800',b'5-way navi key',,b'No',,,,"b'2004, Q1'",b'Discontinued',"b'99 x 49 x 22 mm, 76 cc (3.90 x 1.93 x 0.87 in)'",b'87 g (3.07 oz)',,b'Mini-SIM',b'Predictive text input Organizer Voice dial Voice command',"b'TFT, 65K colors'",b'',"b'120 x 160 pixels, 4:3 ratio'",,,,,,b'No',b'5MB',,,b'Yes',b'VGA',,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 750 mAh battery (EBA-595)',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 140 h',b'Up to 4 h 30 min',,,,,,"b'250 entries, Photo call'","b'10 dialed, 20 received, 20 missed calls'","b'SMS, EMS, MMS, Email'",b'Tetris + Java games',b'Yes',,b'WAP 2.0/xHTML',,"b'Vibration; Downloadable polyphonic ringtones, composer'",,,
