Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,Card slot,Phonebook,Call records,Internal,Single,Video,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Type_1,Stand-by,Talk time,Colors,Price,3G bands,Speed,Single_1,Video_1,Infrared port,Features
b'vk_mobile',b'VK Mobile VK2030',b'https://fdn2.gsmarena.com/vv/bigpic/vk-2030.jpg',b'GSM',b'GSM 900 / 1800 / 1900',b'Class 10',b'No',"b'2007, December. Released 2008, September'",b'Discontinued',b'107 x 48 x 11.7 mm (4.21 x 1.89 x 0.46 in)',b'',b'Mini-SIM',"b'TFT, 256K colors'","b'1.8 inches, 10.2 cm2 (~19.9% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',b'Downloadable pictures and animations',b'microSD (dedicated slot)',"b'Yes, Photocall'","b'50 dialed, 50 received, 50 missed calls'",b'256MB',b'1.3 MP',b'No',b'No',b'No',"b'Vibration; Downloadable polyphonic, Real tones ringtones'",b'No',b'No',b'1.2',b'No',b'No',b'1.1',b'',"b'SMS, EMS, MMS, Email'",b'WAP 2.0/xHTML',b'Yes',"b'Yes, MIDP 2.0'",b'MP3/AAC player Predictive text input Organizer Voice memo',b'Removable Li-Ion 710 mAh battery',b'Up to 150 h',b'Up to 3 h',b'White',b'About 70 EUR',,,,,,
b'vk_mobile',b'VK Mobile VK2200',b'https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk2200.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Class 10',b'No',"b'2006, March'",b'Discontinued',b'97.8 x 49.5 x 12.5 mm (3.85 x 1.95 x 0.49 in)',b'74 g (2.61 oz)',b'Mini-SIM',"b'TFT, 260K colors'","b'1.66 inches, 8.7 cm2 (~17.9% screen-to-body ratio)'",b'176 x 220 pixels (~170 ppi density)',b'GSM 850 / 1900 - US version',b'No',b'1000 entries',"b'50 dialed, 50 received, 50 missed calls'",b'128MB',b'4 MP',b'Yes',b'Downloadable pictures and animations',b'No',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'Yes',b'No',b'No',b'1.1',b'',"b'SMS, EMS, MMS'",b'WAP 2.0/xHTML',b'Yes',"b'Yes, MIDP 2.0'",b'MP3/AAC/AAC+ player Predictive text input Organizer Voice memo',b'Removable Li-Ion battery',,,b'Silver',,,,,,,
b'vk_mobile',b'VK Mobile VK7000',b'https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk7000.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',,,"b'2006, March'",b'Cancelled',b'105 x 48 x 9.9 mm (4.13 x 1.89 x 0.39 in)',b'',b'Mini-SIM',"b'TFT, 256K colors'","b'1.8 inches, 28 x 35 mm, 10.2 cm2 (~20.2% screen-to-body ratio)'",b'176 x 220 pixels (~157 ppi density)',b'Downloadable pictures and animations',b'microMMC',"b'Yes, Photo call'","b'50 dialed, 50 received, 50 missed calls'",,b'1.3 MP',b'QCIF',b'Video telephony & streaming MP3/AAC/AAC+ player Predictive text input Organizer',b'Yes',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'Yes',b'No',b'No',b'2.0',b'',"b'SMS, EMS, MMS, Email'",b'WAP 2.0/xHTML',b'Yes',"b'Yes, MIDP 2.0'",,b'Removable Li-Ion battery',,,b'Black',,b'UMTS 2100',"b'Yes, 384 kbps'",b'VGA videocall camera',b'',,
b'vk_mobile',b'VK Mobile VK5000',b'https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk5000.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Class 10',b'Yes',"b'2006, March'",b'Cancelled',b'91.8 x 50 x 9.9 mm (3.61 x 1.97 x 0.39 in)',b'',b'Mini-SIM',"b'OLED, 256K colors'","b'1.5 inches, 24 x 29 mm, 7.1 cm2 (~15.4% screen-to-body ratio)'",b'128 x 160 pixels (~137 ppi density)',b'GSM 850 / 1900 - US version',b'No',"b'Yes, Photo call'","b'50 dialed, 50 received, 50 missed calls'",b'128MB',b'1.3 MP',b'QCIF',b'Downloadable pictures and animations',b'No',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'Yes',b'No',b'No',b'No',b'',"b'SMS, EMS, MMS, Email'",b'WAP 2.0/xHTML',b'Yes',"b'Yes, MIDP 2.0'",b'MP3/AAC/AAC+ player Predictive text input Organizer PC Sync',b'Removable Li-Ion battery',,,b'Silver',,,,,,,
b'vk_mobile',b'VK Mobile VK300',b'https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk300.gif',b'GSM',b'GSM 900 / 1800',b'Class 10',b'No',"b'2005, July'",b'Discontinued',b'79.5 x 42.5 x 21.5 mm (3.13 x 1.67 x 0.85 in)',b'75 g (2.65 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'1.8 inches, 10.2 cm2 (~30.2% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',"b'Second external STN display, 256K colors, 80 x 80 pixels'",b'No',b'Yes',"b'20 dialed, 20 received,20 missed calls'",,,,b'No',b'No',"b'Vibration; Downloadable polyphonic, MIDI ringtones'",b'No',b'No',b'No',b'No',b'No',b'No',b'',"b'SMS, EMS, MMS'",b'WAP 1.2.1',b'Yes',b'No',b'3D GUI eZi(iTAP) Organizer',b'Removable Li-Ion 720 mAh battery',b'Up to 125 h',b'Up to 3 h',"b'Silver-black, Gold'",,,,,,,
b'vk_mobile',b'VK Mobile VK4000',b'https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk4000.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'Class 10',b'No',"b'2006, March'",b'Discontinued',b'85 x 43 x 21 mm (3.35 x 1.69 x 0.83 in)',b'79 g (2.79 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'1.8 inches, 29 x 35 mm, 10.2 cm2 (~27.9% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',b'Downloadable pictures and animations',b'Yes',"b'Yes, Photo call'","b'50 dialed, 50 received, 50 missed calls'",b'128MB',b'VGA',b'No',b'No',b'No',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0/xHTML',b'Yes',"b'Yes, MIDP 2.0'",b'MP3/AAC player Predictive text input Organizer Stopwatch PC Sync',b'Removable Li-Ion battery',,,b'Black',b'About 60 EUR',,,,,,
b'vk_mobile',b'VK Mobile VK4100',b'https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk4100.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Class 10',b'No',"b'2006, March'",b'Cancelled',b'104 x 52 x 25.9 mm (4.09 x 2.05 x 1.02 in)',b'',b'Mini-SIM',"b'TFT, 256K colors'","b'1.8 inches, 10.2 cm2 (~18.9% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',b'Downloadable pictures and animations',b'Yes',"b'Yes, Photo call'","b'50 dialed, 50 received, 50 missed calls'",b'128MB',b'VGA',b'No',b'No',b'No',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0/xHTML',b'Yes',"b'Yes, MIDP 2.0'",b'MP3/AAC player Predictive text input Organizer Stopwatch PC Sync',b'Removable Li-Ion battery',,,b'Black',,,,,,,
b'vk_mobile',b'VK Mobile VK2020',b'https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk2020.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Class 10',b'No',"b'2006, February'",b'Discontinued',b'95 x 47 x 8.8 mm (3.74 x 1.85 x 0.35 in)',b'53 g (1.87 oz)',b'Mini-SIM',"b'OLED, 256K colors'",b'',b'128 x 160 pixels',b'GSM 850 / 1900 - US version',b'No',b'1000 entries',"b'50 dialed, 50 received, 50 missed calls'",b'64MB',,,b'Downloadable pictures and animations',b'No',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'Yes',b'No',b'No',b'1.1',b'',"b'SMS, EMS, MMS'",b'WAP 2.0/xHTML',b'Yes',"b'Yes, MIDP 2.0'",b'MP3/AAC player Predictive text input Organizer Voice memo',b'Removable Li-Ion battery',,,b'Black',b'About 50 EUR',,,,,,
b'vk_mobile',b'VK Mobile VK200',b'https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk200.gif',b'GSM',b'GSM 900 / 1800',b'Class 10',b'No',"b'2006, February'",b'Discontinued',b'105 x 48 x 11 mm (4.13 x 1.89 x 0.43 in)',b'',b'Mini-SIM',"b'CSTN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",b'Downloadable pictures and animations',b'microSD (dedicated slot)',"b'Yes, Photo call'","b'50 dialed, 50 received, 50 missed calls'",b'20MB',b'VGA',b'Yes',b'No',b'No',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0/xHTML',b'Yes',b'No',b'MP3/AAC player Predictive text input Unit convertor Calculator Stopwatch',b'Removable Li-Ion battery',,,b'Black',,,,,,,
b'vk_mobile',b'VK Mobile VK4500',b'https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk4500.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'Class 10',b'No',"b'2005, Q4'",b'Discontinued',b'98 x 49 x 16.9 mm (3.86 x 1.93 x 0.67 in)',b'86 g (3.03 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'2.0 inches, 31 x 39 mm, 12.6 cm2 (~26.2% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',b'Downloadable pictures and animations',b'No',"b'Yes, Photo call'","b'50 dialed, 50 received, 50 missed calls'",b'100MB',b'1.3 MP',b'Yes',b'No',b'No',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0/xHTML',b'Yes',"b'Yes, MIDP 2.0'",b'MP3/AAC player Predictive text input Organizer Stopwatch World time',b'Removable Li-Ion 620 mAh battery',b'',b'',b'',,,,,,,
b'vk_mobile',b'VK Mobile VK3100',b'https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk3100.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'Class 10',b'No',"b'2005, Q4'",b'Discontinued',b'98 x 54 x 14.9 mm (3.86 x 2.13 x 0.59 in)',b'82 g (2.89 oz)',b'Mini-SIM',"b'TFT, 256K colors'","b'2.2 inches, 35 x 44 mm, 15.2 cm2 (~28.8% screen-to-body ratio)'",b'176 x 220 pixels (~128 ppi density)',"b'Second 1-inch external CSTN display, 65K colors (96x96 pixels)  Downloadable pictures and animations'",b'microSD (dedicated slot)',"b'Yes, Photo call'","b'50 dialed, 50 received, 50 missed calls'",b'54MB',b'VGA',b'Yes',b'No',b'No',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0/xHTML',b'Yes',"b'Yes, MIDP 2.0'",b'MP3/AAC player Predictive text input Organizer Stopwatch World time',b'Removable Li-Ion 720 mAh battery',,,"b'Silver, Black, Pink'",,,,,,,
b'vk_mobile',b'VK Mobile VK2100',b'https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk2100.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Class 10',b'No',"b'2005, Q4'",b'Cancelled',b'93 x 49 x 9.3 mm (3.66 x 1.93 x 0.37 in)',b'48 g (1.69 oz)',b'Mini-SIM',"b'OLED, 256K colors'",b'',b'128 x 160 pixels',b'Downloadable pictures and animations',b'No',b'1000 entries',"b'50 dialed, 50 received, 50 missed calls'",b'2GB',,,b'No',b'No',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0/xHTML',b'Yes',b'No',b'MP3 player Predictive text input Organizer',b'Removable Li-Ion 790 mAh battery',b'Up to 150 h',b'Up to 3 h',b'Black',,,,,,,
b'vk_mobile',b'VK Mobile VK2010',b'https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk2010.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Class 10',b'No',"b'2005, Q4'",b'Discontinued',b'90 x 50 x 8.8 mm (3.54 x 1.97 x 0.35 in)',b'50 g (1.76 oz)',b'Mini-SIM',"b'OLED, 256K colors'",b'',b'128 x 160 pixels',b'Downloadable pictures and animations',b'No',b'1000 entries',"b'50 dialed, 50 received, 50 missed calls'",b'64/128MB',,,b'No',b'No',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0/xHTML',b'Yes',b'No',b'MP3 player Predictive text input Organizer',b'Removable Li-Ion 790 mAh battery',b'Up to 150 h',b'Up to 3 h',"b'Silver, Pink, Black'",,,,,,,
b'vk_mobile',b'VK Mobile VK1500',b'https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk1500.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'Class 10',b'No',"b'2005, Q4'",b'Cancelled',b'89 x 46 x 23 mm (3.50 x 1.81 x 0.91 in)',b'86 g (3.03 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',b'176 x 220 pixels',"b'Second external OLED display, 65K colors (96 x 64 pixels) Downloadable pictures'",b'No',"b'Yes, Photocall'","b'50 dialed, 50 received, 50 missed calls'",b'100MB',b'1.3 MP',b'No',b'No',b'No',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0/xHTML',b'Yes',"b'Yes, MIDP 2.0'",b'MP3/AAC player Predictive text input Organizer Stopwatch World time',b'Removable Li-Ion 940 mAh battery',,,b'Black',,,,,,,
